# MEAN_SAMPLE_SIZE = 51114
# TOTAL_GENES = 13920
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13920   0.00038382      0.01109   0.00040659      0.17259
9_pcw        COVAR   13920   0.00090176     0.021507   0.00050042     0.035782
12_pcw       COVAR   13920   0.00091511     0.024978   0.00048771     0.030317
13_pcw       COVAR   13920   0.00083647     0.023842   0.00046214      0.03516
16_pcw       COVAR   13920   0.00098626     0.025282   0.00057386     0.042851
17_pcw       COVAR   13920     0.001449     0.035939   0.00063408      0.01116
19_pcw       COVAR   13920    0.0004892     0.015184   0.00044691      0.13685
21_pcw       COVAR   13920    0.0015129     0.037622    0.0006603     0.010985
24_pcw       COVAR   13920    0.0013687     0.039585   0.00057166    0.0083334
26_pcw       COVAR   13920  -0.00034077   -0.0070173    0.0009899      0.63467
37_pcw       COVAR   13920   0.00029168    0.0086344   0.00058365      0.30863
4_mos        COVAR   13920  -5.4711e-05   -0.0014256    0.0012207      0.51787
10_mos       COVAR   13920  -2.5011e-05   -0.0007367    0.0007512      0.51328
1_yrs        COVAR   13920   0.00045816     0.010424   0.00087575      0.30044
2_yrs        COVAR   13920   -0.0006023    -0.012479    0.0005905      0.84612
3_yrs        COVAR   13920  -0.00072607    -0.017654   0.00069737      0.85109
4_yrs        COVAR   13920  -0.00059385     -0.01999   0.00050167      0.88173
8_yrs        COVAR   13920   -0.0014301    -0.040565   0.00083917      0.95582
11_yrs       COVAR   13920   -0.0013863    -0.035743   0.00081591      0.95534
13_yrs       COVAR   13920   -0.0009289    -0.020711   0.00095553       0.8345
15_yrs       COVAR   13920  -0.00015774   -0.0036093   0.00086214      0.57259
18_yrs       COVAR   13920   -0.0013704    -0.028556   0.00083594      0.94942
19_yrs       COVAR   13920  -0.00045006    -0.011326    0.0007447      0.72719
21_yrs       COVAR   13920  -0.00052967    -0.012151   0.00084305      0.73509
23_yrs       COVAR   13920   -0.0017044    -0.036803   0.00099314      0.95692
30_yrs       COVAR   13920  -0.00033118   -0.0093799   0.00062174      0.70286
36_yrs       COVAR   13920  -0.00061945    -0.012934   0.00096049      0.74051
37_yrs       COVAR   13920   -0.0004929    -0.010431   0.00092376      0.70318
40_yrs       COVAR   13920   -0.0007115      -0.0199   0.00072101      0.83812
