# MEAN_SAMPLE_SIZE = 51039
# TOTAL_GENES = 17045
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17045    -0.028891    -0.057529     0.011331       0.9946 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17045    -0.029062    -0.056325     0.011724       0.9934 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17045    0.0024102    0.0046433      0.01066      0.41056 Adrenal_Gland
Artery_Aorta                        COVAR   17045    -0.026731    -0.054435     0.010804      0.99332 Artery_Aorta
Artery_Coronary                     COVAR   17045    -0.038195     -0.07585     0.012525      0.99885 Artery_Coronary
Artery_Tibial                       COVAR   17045    -0.026568     -0.05458     0.010531      0.99417 Artery_Tibial
Bladder                             COVAR   17045    -0.038958    -0.075717     0.013697      0.99777 Bladder
Brain_Amygdala                      COVAR   17045     0.023107     0.039257    0.0082512    0.0025544 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17045     0.025642     0.045173    0.0076086    0.0003765 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17045     0.029455     0.050733    0.0082857   0.00018962 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17045     0.017784     0.035619    0.0064394    0.0028786 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17045     0.018629     0.036905    0.0066339    0.0024947 Brain_Cerebellum
Brain_Cortex                        COVAR   17045     0.026031     0.047343    0.0075069   0.00026331 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17045      0.02628     0.048295    0.0072561   0.00014672 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17045     0.023731      0.04007    0.0083825    0.0023234 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17045     0.028058     0.048162    0.0085733   0.00053369 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17045     0.026088     0.045135    0.0079932   0.00055094 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17045     0.026563     0.045078    0.0083466   0.00073137 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17045    0.0062184      0.01115    0.0091145      0.24755 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17045     0.016094     0.027639    0.0090946     0.038403 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17045    -0.027531    -0.052809     0.013309       0.9807 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17045    0.0014601    0.0031238    0.0068972      0.41617 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17045   -0.0034547    -0.007535    0.0051488      0.74888 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17045    -0.013788    -0.026944     0.012746      0.86031 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17045   -0.0086338    -0.017039     0.012205      0.76033 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17045    -0.011806    -0.023038     0.013119      0.81592 Colon_Sigmoid
Colon_Transverse                    COVAR   17045    -0.020167    -0.036975     0.012139      0.95167 Colon_Transverse
