annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	96	0.0130647795318454	1.40142479016735	0.0015426745480418
UTR5	71546	0.00285251910856087	39	0.00530756668481219	1.86065946723488	0.000389757971706785
downstream	284177	0.0113300579027968	123	0.0167392487751769	1.47741952590065	4.22211651776378e-05
exonic	254736	0.0101562534263042	151	0.0205498094719652	2.02336517310036	4.50927459121765e-15
intergenic	11684523	0.465858680176655	2374	0.32308111050626	0.693517421171045	1.37981722460152e-136
intronic	9137749	0.364319509570527	3611	0.491426238432226	1.34888806534555	1.75023687762255e-109
ncRNA_exonic	259951	0.0103641740249561	104	0.0141535111594992	1.36561882552519	0.00220699510542341
ncRNA_intronic	2884355	0.114998431126451	736	0.100163309744148	0.870997184596454	5.28141625185356e-05
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	3	0.000408274360370169	3.61844909602575	0.051659566667455
upstream	266686	0.0106326966005879	111	0.0151061513336962	1.42072626551396	0.000403781484155072
