# TOTAL_GENES = 18863
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      58    -0.077655   -0.0042995      0.13233      0.72133 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      29     0.072665    0.0028471      0.16754      0.33225 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      23     -0.28932    -0.010097      0.21358      0.91222 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      29     -0.25964    -0.010173      0.24556      0.85482 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      32     -0.25384    -0.010447      0.16823      0.93434 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      26      -0.1669   -0.0061921      0.20688      0.79008 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      26     -0.41671     -0.01546       0.2762       0.9343 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      40     -0.12437   -0.0057211      0.15114      0.79471 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      15      0.11469    0.0032329      0.26237      0.33101 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      16     -0.11541     -0.00336      0.23839      0.68585 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      54     -0.10387   -0.0055496      0.15492      0.74871 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     116      0.14366     0.011232     0.083678      0.04301 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg_purin...          SET     153    -0.099755   -0.0089478     0.073612      0.91231 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      94     -0.18383    -0.012945     0.090801      0.97853 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      31     -0.15131   -0.0061292      0.17627      0.80467 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      28      0.31833     0.012256       0.1846     0.042326 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      33    -0.056346   -0.0023547      0.17643      0.62527 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      42    -0.001392  -6.5611e-05      0.14487      0.50383 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg_valin...1         SET      10     0.010384   0.00023902      0.24273      0.48294 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg_lysin...          SET      42    -0.082311   -0.0038797      0.14317      0.71732 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg_argin...          SET      48     -0.10001   -0.0050387      0.13333      0.77339 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg_histi...          SET      27     -0.30162    -0.011403      0.20741      0.92705 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg_tyros...          SET      39      0.13124    0.0059613      0.17807      0.23057 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg_pheny...          SET      16     0.076414    0.0022246      0.26033      0.38456 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg_trypt...          SET      37    -0.096647   -0.0042763      0.16052      0.72644 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      21     -0.35872    -0.011963       0.2249      0.94464 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10      0.36272    0.0083496      0.28781      0.10379 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      26      0.24271    0.0090051      0.19658      0.10848 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      48    -0.084225   -0.0042434      0.14423      0.72037 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      48    -0.097498   -0.0049121      0.17092      0.71581 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      45     -0.12304   -0.0060027       0.1331      0.82237 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      16   -0.0089871  -0.00026164      0.21162      0.51694 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29    -0.039773   -0.0015583      0.20952      0.57528 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      44     -0.10033     -0.00484      0.14528      0.75508 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      20    0.0063963   0.00020817      0.20677      0.48766 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      21    -0.084765   -0.0028268      0.21222      0.65521 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15      0.14055    0.0039619      0.24986      0.28689 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      25     0.046017    0.0016742      0.20168      0.40976 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      45     0.076026     0.003709      0.14017      0.29378 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53     -0.02063    -0.001092      0.13017      0.56296 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      23      0.11654    0.0040671      0.15816      0.23062 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      75     0.050702    0.0031908      0.10422      0.31331 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33    -0.045656    -0.001908      0.16065      0.61187 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58     0.069822    0.0038659      0.12311       0.2853 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29     0.071033    0.0027831      0.18191      0.34809 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19     0.062687    0.0019886      0.20752       0.3813 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      38     0.013759   0.00061693      0.15947      0.46562 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25   -0.0048685  -0.00017713       0.1967      0.50987 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13      0.25454      0.00668      0.24977      0.15409 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15      0.37116     0.010463      0.24688     0.066377 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39      -0.1471   -0.0066819      0.15888      0.82274 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16     -0.13577   -0.0039527      0.22546      0.72647 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     -0.17615   -0.0072493      0.18657      0.82745 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      32     -0.24348     -0.01002      0.17993      0.91199 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17     -0.15139    -0.004543      0.23689      0.73862 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15    -0.081002   -0.0022834      0.26089       0.6219 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24      0.16427    0.0058559      0.19592       0.2009 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16    0.0056361   0.00016408      0.26832      0.49162 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11      0.42598     0.010284      0.34513      0.10856 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      62     -0.29603    -0.016944       0.1482      0.97711 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      40     0.077426    0.0035617      0.17122      0.32557 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15      0.43159     0.012166      0.22612     0.028163 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10     -0.24505   -0.0056409      0.29132      0.79987 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21     0.079773    0.0026603      0.21011      0.35209 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11      0.29564    0.0071373      0.27673       0.1427 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41     0.028437    0.0013244       0.1326       0.4151 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      70     -0.16473    -0.010017      0.14964       0.8645 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      70     -0.11274   -0.0068553      0.14986      0.77405 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      51    -0.093781   -0.0048699      0.16239       0.7182 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      22     -0.13053   -0.0044553      0.20832      0.73453 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      43     -0.14392    -0.006864      0.16082      0.81459 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      80     0.097199    0.0063167     0.095973      0.15559 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      57   -0.0038329  -0.00021038      0.12618      0.51212 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      28     -0.24353   -0.0093758      0.15065        0.947 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      30     0.080582    0.0032111      0.17357      0.32124 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34     -0.18312   -0.0077675      0.15495      0.88135 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     120    -0.047395   -0.0037683     0.079403      0.72471 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      47     0.065898    0.0032854      0.13842      0.31701 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23      0.24368    0.0085041      0.18475     0.093593 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      67      0.01181    0.0007026      0.11485      0.45905 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32    -0.058109   -0.0023914      0.16476      0.63784 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      40     -0.10256    -0.004718      0.13524      0.77587 Curated_gene_sets:kegg_nucleotide_excision_repair
