# MEAN_SAMPLE_SIZE = 83671
# TOTAL_GENES = 14063
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14063   0.00019494    0.0057464   0.00044529      0.33077
9_pcw        COVAR   14063   0.00066868     0.016239   0.00054737      0.11094
12_pcw       COVAR   14063   0.00032611    0.0090938   0.00052802      0.26842
13_pcw       COVAR   14063   0.00034371     0.010033    0.0005025      0.24699
16_pcw       COVAR   14063   0.00080841     0.021185   0.00062709     0.098687
17_pcw       COVAR   14063    0.0012807     0.032549   0.00068524     0.030823
19_pcw       COVAR   14063   0.00066352     0.021117   0.00047896     0.082986
21_pcw       COVAR   14063    0.0015623     0.039792   0.00071938     0.014945
24_pcw       COVAR   14063  -3.7777e-06  -0.00011137   0.00062356      0.50242
26_pcw       COVAR   14063   -0.0014614    -0.030751    0.0010687      0.91425
37_pcw       COVAR   14063   -0.0015827    -0.048671   0.00062451      0.99436
4_mos        COVAR   14063    0.0019432     0.051889    0.0013071     0.068565
10_mos       COVAR   14063    0.0014142     0.042764   0.00080492      0.03947
1_yrs        COVAR   14063    0.0035537     0.082283   0.00093827   7.6439e-05
2_yrs        COVAR   14063  -0.00063619    -0.013586   0.00065051      0.83595
3_yrs        COVAR   14063  -0.00072549    -0.018314   0.00075451      0.83185
4_yrs        COVAR   14063   -0.0010692    -0.036898   0.00055426      0.97312
8_yrs        COVAR   14063   -0.0013212    -0.038965   0.00087966      0.93343
11_yrs       COVAR   14063  -0.00012072   -0.0031643    0.0008725      0.55502
13_yrs       COVAR   14063    0.0014534      0.03311    0.0010262     0.078364
15_yrs       COVAR   14063    0.0011037     0.025611   0.00092362      0.11605
18_yrs       COVAR   14063  -0.00096673    -0.020769   0.00090985      0.85599
19_yrs       COVAR   14063   0.00089511     0.022957   0.00080606      0.13341
21_yrs       COVAR   14063    0.0010195     0.023847   0.00090507      0.13001
23_yrs       COVAR   14063  -0.00054688    -0.012078    0.0010733       0.6948
30_yrs       COVAR   14063   0.00046604     0.013522   0.00066956      0.24321
36_yrs       COVAR   14063    0.0010653     0.022565    0.0010335      0.15134
37_yrs       COVAR   14063   0.00056968     0.012249   0.00099296      0.28308
40_yrs       COVAR   14063   -0.0018028    -0.051553   0.00078566      0.98912
