# TOTAL_GENES = 17219
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17219    -0.078652     -0.15675     0.012492            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17219      -0.1001     -0.19415     0.012971            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17219    -0.034936    -0.067359     0.011706      0.99858 Adrenal_Gland
Artery_Aorta                        COVAR   17219    -0.027075    -0.055189     0.011905      0.98852 Artery_Aorta
Artery_Coronary                     COVAR   17219    -0.050493     -0.10037     0.013771      0.99988 Artery_Coronary
Artery_Tibial                       COVAR   17219    -0.022665    -0.046613     0.011664      0.97399 Artery_Tibial
Bladder                             COVAR   17219     -0.06808     -0.13245     0.015188            1 Bladder
Brain_Amygdala                      COVAR   17219     0.061795      0.10513    0.0091063   5.9709e-12 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17219     0.067881      0.11974    0.0083917   3.2215e-16 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17219     0.062096      0.10711    0.0091356   5.5243e-12 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17219     0.058072       0.1164    0.0070569   1.0159e-16 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17219     0.060077      0.11912    0.0072762    8.076e-17 Brain_Cerebellum
Brain_Cortex                        COVAR   17219     0.071266      0.12978    0.0082851   4.2877e-18 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17219     0.068965      0.12688    0.0079944   3.4549e-18 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17219     0.066295      0.11212    0.0092576   4.1763e-13 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17219     0.056507     0.097103    0.0094349   1.0777e-09 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17219     0.064903      0.11245     0.008827   1.0184e-13 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17219     0.058886      0.10009    0.0092022   8.0312e-11 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17219     0.039592     0.071061     0.010036   4.0049e-05 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17219     0.043571     0.074906    0.0099909   6.5118e-06 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17219      -0.1122     -0.21537     0.014709            1 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17219    -0.014502    -0.031048    0.0075896      0.97198 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17219    0.0023705    0.0051705    0.0056757       0.3381 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17219     -0.06397     -0.12516      0.01404            1 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17219    -0.049705    -0.098211     0.013375       0.9999 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17219    -0.028341     -0.05537     0.014606      0.97383 Colon_Sigmoid
Colon_Transverse                    COVAR   17219    -0.039443    -0.072405     0.013378       0.9984 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17219    -0.036858    -0.072466     0.014947      0.99316 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17219    -0.038954    -0.075201    0.0088052            1 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17219    -0.030667    -0.060417     0.014497      0.98279 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17219    -0.051586    -0.099865     0.013754      0.99991 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17219    -0.021947    -0.039366     0.011044      0.97654 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17219    -0.024476    -0.040836     0.010547      0.98984 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17219    -0.047968    -0.084183     0.010485            1 Kidney_Cortex
Kidney_Medulla                      COVAR   17219    -0.047826    -0.088301     0.010755            1 Kidney_Medulla
Liver                               COVAR   17219    -0.020609    -0.037089    0.0073754       0.9974 Liver
Lung                                COVAR   17219    -0.042647    -0.082286     0.010643      0.99997 Lung
Minor_Salivary_Gland                COVAR   17219    -0.054305     -0.10089     0.011111            1 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17219    -0.016527    -0.031254    0.0080109      0.98044 Muscle_Skeletal
Nerve_Tibial                        COVAR   17219    -0.012135    -0.024382     0.011667      0.85085 Nerve_Tibial
Ovary                               COVAR   17219    -0.030654    -0.062061     0.011269      0.99673 Ovary
Pancreas                            COVAR   17219    -0.015431    -0.025789    0.0097688      0.94289 Pancreas
Pituitary                           COVAR   17219     0.035248     0.065584     0.010351   0.00033148 Pituitary
Prostate                            COVAR   17219    -0.052563    -0.099522     0.013805      0.99993 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17219    -0.033353    -0.064219    0.0089267      0.99991 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17219    -0.034475    -0.066781    0.0089576      0.99994 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17219     -0.02358    -0.043282     0.011137      0.98287 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17219    -0.017058    -0.033761    0.0085101      0.97748 Spleen
Stomach                             COVAR   17219    -0.043607    -0.079112     0.013865      0.99917 Stomach
Testis                              COVAR   17219    0.0015403    0.0026538    0.0064804      0.40606 Testis
Thyroid                             COVAR   17219    -0.059988     -0.11859     0.011219            1 Thyroid
Uterus                              COVAR   17219    -0.036306    -0.073859     0.012597      0.99802 Uterus
Vagina                              COVAR   17219    -0.073602     -0.14048     0.012782            1 Vagina
Whole_Blood                         COVAR   17219    0.0067221     0.012149    0.0065031      0.15065 Whole_Blood
