,Row.names,baseMean,log2FoldChange,lfcSE,pvalue,padj,significant
1,ENSG00000000003,6.734508142,-0.00573928,0.112949933,0.925540353,0.964588441,unchanged
2,ENSG00000000419,230.5964567,0.066632452,0.079673172,0.290003733,0.503565335,unchanged
3,ENSG00000000457,512.1671744,0.066360343,0.057992445,0.196405092,0.395433137,unchanged
4,ENSG00000000460,174.6975185,0.219189626,0.087793114,0.002238496,0.023925116,upregulated
5,ENSG00000000938,2021.734131,-0.169667976,0.099122425,0.026538979,0.116058772,unchanged
6,ENSG00000000971,90.58228627,0.135394409,0.125532721,0.080608255,0.230468675,unchanged
7,ENSG00000001036,169.4646774,0.04301677,0.068675169,0.459032995,0.659274181,unchanged
8,ENSG00000001084,1196.081672,0.231588255,0.153255932,0.016809475,0.087236575,unchanged
9,ENSG00000001167,658.5535476,0.075446092,0.07620278,0.226460529,0.432126684,unchanged
10,ENSG00000001460,16.46836478,6.27E-05,0.091471019,0.9987814,0.999779576,unchanged
11,ENSG00000001461,349.4320196,-0.039453406,0.082274983,0.531007995,0.716391936,unchanged
12,ENSG00000001497,186.1796122,-0.052221028,0.07451674,0.391163657,0.597912334,unchanged
13,ENSG00000001561,309.1571927,-0.011154961,0.079559629,0.857720445,0.928202399,unchanged
14,ENSG00000001617,0.069519701,0.000994134,0.128693125,0.875934952,NA,unchanged
15,ENSG00000001626,0.061200185,0.000734333,0.128693896,0.905087031,NA,unchanged
16,ENSG00000001629,491.5733303,0.175283105,0.072758627,0.004485429,0.037286978,upregulated
17,ENSG00000001630,146.5396454,-0.006994438,0.077141026,0.910102339,0.95661653,unchanged
18,ENSG00000001631,145.5253027,0.068215522,0.07872284,0.280108741,0.493129622,unchanged
19,ENSG00000002016,63.3370639,0.033314829,0.081512377,0.592466165,0.760432912,unchanged
20,ENSG00000002330,63.52028826,0.013099345,0.07751269,0.831327994,0.912066899,unchanged
21,ENSG00000002549,665.3667109,0.065882939,0.118691835,0.322541947,0.53503153,unchanged
22,ENSG00000002586,471.5762298,-0.248231356,0.159685037,0.01456178,0.080107155,unchanged
23,ENSG00000002587,17.96552436,0.087549034,0.132310894,0.197147583,0.396213112,unchanged
24,ENSG00000002726,8.116482251,0.017676079,0.126369477,0.517614986,NA,unchanged
25,ENSG00000002745,12.68798417,0.079512728,0.132109175,0.215656507,0.419287001,unchanged
26,ENSG00000002746,0.146622278,-0.00061676,0.128681753,0.979044634,NA,unchanged
27,ENSG00000002822,87.97614062,-0.094925014,0.108382081,0.185624507,0.381984656,unchanged
28,ENSG00000002834,2145.807071,-0.485841339,0.123529853,5.85E-06,0.000620632,downregulated
29,ENSG00000002919,744.8017792,-0.064195499,0.076059649,0.297130959,0.510500199,unchanged
30,ENSG00000002933,67.2870761,0.033029617,0.124449631,0.46202373,0.66167579,unchanged
31,ENSG00000003056,1719.057105,-0.009871828,0.086120175,0.873281068,0.937273826,unchanged
32,ENSG00000003096,13.7315166,0.073888544,0.128034551,0.24458467,0.452812252,unchanged
33,ENSG00000003137,0.119719855,-0.000895718,0.12869461,0.997871636,NA,unchanged
34,ENSG00000003147,33.99634662,0.199459823,0.123322853,0.019980113,0.097317692,unchanged
35,ENSG00000003249,7.067730137,-0.180681003,0.285505526,0.022212357,0.103753389,unchanged
36,ENSG00000003393,375.9334776,0.03002395,0.063572829,0.584341073,0.754032725,unchanged
37,ENSG00000003400,569.0890096,-0.163331708,0.056474748,0.001355013,0.017495088,downregulated
38,ENSG00000003402,6139.434919,0.002218798,0.084043119,0.975843462,0.988732213,unchanged
39,ENSG00000003436,166.5939116,0.095152143,0.13697273,0.1587325,0.349065227,unchanged
40,ENSG00000003509,102.5857627,0.221497926,0.076787799,0.000800199,0.012642543,upregulated
41,ENSG00000003756,1254.44395,0.057911904,0.066884435,0.310964933,0.523271209,unchanged
42,ENSG00000003987,1.21878135,-0.005836659,0.124224495,0.889166813,NA,unchanged
43,ENSG00000003989,0.037681723,-0.001136376,0.128701662,0.997324774,NA,unchanged
44,ENSG00000004059,803.7310256,0.005867666,0.060216207,0.912497886,0.95790747,unchanged
45,ENSG00000004139,130.1476646,-0.306095412,0.13503084,0.002065431,0.022789457,downregulated
46,ENSG00000004142,269.7422247,0.008329684,0.055887035,0.870545611,0.935588924,unchanged
47,ENSG00000004399,134.0489401,-0.658210379,0.205460721,5.24E-05,0.002222597,downregulated
48,ENSG00000004455,676.3710104,0.074837354,0.058391011,0.14606149,0.33228749,unchanged
49,ENSG00000004468,278.7143026,0.033054872,0.09111532,0.609095125,0.772730121,unchanged
50,ENSG00000004478,192.9981566,-0.170231181,0.102145904,0.02765292,0.119272068,unchanged
51,ENSG00000004487,84.00904586,-0.081290373,0.11704415,0.239085543,0.447099176,unchanged
52,ENSG00000004534,483.4720479,0.080392266,0.101189064,0.234942171,0.44188539,unchanged
53,ENSG00000004660,86.13665333,-0.210339015,0.16955008,0.026147465,0.114876791,unchanged
54,ENSG00000004700,939.4124138,0.011662143,0.057385484,0.819680216,0.905297947,unchanged
55,ENSG00000004766,344.4211158,0.192437838,0.084933171,0.005646738,0.043957535,upregulated
56,ENSG00000004776,0.055983549,-0.000722217,0.128696667,0.992200604,NA,unchanged
57,ENSG00000004777,5.657257426,-0.192708057,0.337912219,0.018409567,NA,unchanged
58,ENSG00000004779,70.33869287,0.111121399,0.087364686,0.099625921,0.262152541,unchanged
59,ENSG00000004799,130.0270678,-0.177490684,0.204133201,0.043633141,0.157849247,unchanged
60,ENSG00000004809,69.54548726,0.053286362,0.11400396,0.39810447,0.605445991,unchanged
61,ENSG00000004838,5.49212929,-0.036181842,0.121204097,0.480019137,0.676159666,unchanged
62,ENSG00000004846,10.97237511,0.054215111,0.128818067,0.295657786,0.509360147,unchanged
63,ENSG00000004848,0.017495622,0.000405539,0.128697414,0.89508348,NA,unchanged
64,ENSG00000004864,73.97923689,0.028234842,0.087473949,0.658615104,0.806778948,unchanged
65,ENSG00000004866,133.1394524,0.14111206,0.106367243,0.065453311,0.202795893,unchanged
66,ENSG00000004897,1928.716077,0.12239234,0.119129418,0.106166716,0.272221845,unchanged
67,ENSG00000004939,5261.536235,0.07929855,0.143733845,0.164682437,0.356764691,unchanged
68,ENSG00000004948,0.197334017,0.000430718,0.128648393,0.940465503,NA,unchanged
69,ENSG00000004961,148.4015221,0.048560734,0.059483809,0.359108239,0.568910823,unchanged
70,ENSG00000004975,48.03057563,-0.308771344,0.149572821,0.003668543,0.032362209,downregulated
71,ENSG00000005001,0.582386137,-0.0006462,0.127022974,0.953404193,NA,unchanged
72,ENSG00000005007,486.465801,-0.497743293,0.13865645,2.09E-05,0.001194988,downregulated
73,ENSG00000005020,367.3376881,-0.063284243,0.117173549,0.326526726,0.538800239,unchanged
74,ENSG00000005022,993.1750822,0.073575498,0.074582807,0.231531766,0.43785096,unchanged
75,ENSG00000005059,468.5614932,0.094324919,0.068372059,0.104585739,0.269717013,unchanged
76,ENSG00000005073,0.008494053,-0.000487927,0.128699471,0.964647976,NA,unchanged
77,ENSG00000005075,31.63519455,-0.025943826,0.101743904,0.676285429,0.818294136,unchanged
78,ENSG00000005100,120.4031623,-0.100103852,0.070566145,0.091487221,0.248739066,unchanged
79,ENSG00000005102,8.142435012,-0.037991844,0.121459065,0.452287135,0.653933588,unchanged
80,ENSG00000005108,13.11343531,0.003420504,0.115470244,0.940900298,0.971156075,unchanged
81,ENSG00000005156,235.9971105,-0.014099616,0.075752557,0.81661137,0.903061519,unchanged
82,ENSG00000005175,435.3332967,0.061963376,0.070549571,0.299504271,0.512802808,unchanged
83,ENSG00000005187,169.4153465,0.344622366,0.131297458,0.000910528,0.013687275,upregulated
84,ENSG00000005189,32.7156015,0.195420175,0.165396057,0.03394688,0.135581337,unchanged
85,ENSG00000005194,161.5434199,0.00260264,0.073417836,0.966944775,0.984224345,unchanged
86,ENSG00000005206,65.7592228,-0.370392451,0.177220001,0.002190342,0.023574277,downregulated
87,ENSG00000005238,524.4992535,0.012529655,0.104321548,0.836861013,0.91552002,unchanged
88,ENSG00000005243,3.667470574,-0.067198491,0.139412682,0.196445217,NA,unchanged
89,ENSG00000005249,1672.688471,0.106926647,0.133316309,0.144730749,0.330346026,unchanged
90,ENSG00000005302,511.6307229,0.100779373,0.095650793,0.15200583,0.340659438,unchanged
91,ENSG00000005339,810.8006117,-0.242967491,0.136174391,0.0089313,0.058964178,unchanged
92,ENSG00000005379,78.56422876,-0.409326671,0.209563185,0.002127554,0.023186984,downregulated
93,ENSG00000005381,65.61941399,-0.034662581,0.120344433,0.496506914,0.69094633,unchanged
94,ENSG00000005421,0.086959941,-3.81E-05,0.128689398,0.947990139,NA,unchanged
95,ENSG00000005436,125.5104539,0.113937112,0.080337043,0.078263976,0.226826831,unchanged
96,ENSG00000005448,28.32239082,0.048518135,0.1190587,0.400581586,0.607703579,unchanged
97,ENSG00000005469,131.6213423,0.056342172,0.067624431,0.320121987,0.532165316,unchanged
