annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	4	0.00311769290724864	0.334426778323906	0.0184785353436698
UTR5	71546	0.00285251910856087	2	0.00155884645362432	0.546480634939822	0.5968201821315
downstream	284177	0.0113300579027968	9	0.00701480904130943	0.619132673591884	0.184406684487782
exonic	254736	0.0101562534263042	10	0.00779423226812159	0.767431841345639	0.485943710233362
intergenic	11684523	0.465858680176655	573	0.446609508963367	0.958680234945953	0.17034161082025
intronic	9137749	0.364319509570527	230	0.179267342166797	0.49206078032473	6.90715819159426e-48
ncRNA_exonic	259951	0.0103641740249561	6	0.00467653936087295	0.451221616851688	0.0383562396578782
ncRNA_intronic	2884355	0.114998431126451	438	0.341387373343726	2.96862635428774	8.64813612271726e-101
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	11	0.00857365549493375	0.806348174597561	0.585129953350399
