# TOTAL_GENES = 19510
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_glyco...1         SET      61       0.1104    0.0061634      0.10961      0.15693 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg_citra...          SET      31     -0.11944   -0.0047574      0.15983      0.77256 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg_pento...2         SET      26    -0.004115  -0.00015012      0.18015      0.50911 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg_pento...1         SET      28      0.14411    0.0054556       0.2318      0.26708 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg_fruct...          SET      34     -0.24111    -0.010057      0.14565      0.95107 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg_galac...          SET      27      0.15008    0.0055795      0.17005      0.18874 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg_ascor...          SET      25    0.0015542   5.5602e-05      0.25263      0.49755 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg_fatty...          SET      41      0.16713    0.0076538      0.13366      0.10558 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg_stero...1         SET      17      0.17712     0.005226      0.22348      0.21403 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg_prima...1         SET      16     -0.20668   -0.0059164      0.23514      0.81028 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg_stero...2         SET      54      0.10322    0.0054229      0.13709      0.22576 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg_oxida...          SET     118     0.051136    0.0039649     0.077367      0.25433 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg_purin...          SET     156     0.084736    0.0075469     0.066725      0.10206 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg_pyrim...          SET      96     0.040197    0.0028128     0.083448      0.31501 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg_alani...          SET      32     0.026304    0.0010644       0.1497      0.43026 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg_glyci...          SET      31     -0.25979    -0.010348      0.14724      0.96116 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg_cyste...          SET      34     -0.16799   -0.0070068      0.14811      0.87163 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg_valin...2         SET      43      0.18222    0.0085455      0.12976      0.08012 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg_valin...1         SET      11       0.2805    0.0066586      0.24308      0.12427 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg_lysin...          SET      44     0.064627    0.0030657      0.13083      0.31066 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg_argin...          SET      54     -0.13873   -0.0072889      0.11757        0.881 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg_histi...          SET      29     -0.14672   -0.0056528      0.17103      0.80452 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg_tyros...          SET      41      -0.3563    -0.016317       0.1501      0.99119 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg_pheny...          SET      18     -0.41849    -0.012706      0.22162       0.9705 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg_trypt...          SET      39     -0.12615   -0.0056347      0.14783      0.80326 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      22     0.016237   0.00054496      0.19084       0.4661 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10     0.032721   0.00074062      0.25785      0.44951 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      26     -0.34081    -0.012433       0.1566      0.98523 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      48     0.012882   0.00063817      0.12975      0.46046 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      48      0.21161     0.010484      0.14906     0.077868 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      47    -0.013519  -0.00066277      0.12645      0.54257 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      16     0.055889    0.0015999      0.21424       0.3971 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      30      0.19098    0.0074832      0.18869      0.15575 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      45    -0.068178   -0.0032706      0.12246      0.71115 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      22    -0.043099   -0.0014465      0.18937      0.59002 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      22     0.085482     0.002869      0.19662      0.33187 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15     -0.08207   -0.0022748      0.21801      0.64671 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      26      0.11608    0.0042349      0.18229      0.26214 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
