# TOTAL_GENES = 17821
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17821    -0.025141    -0.050164      0.01129      0.98701 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17821    -0.037369    -0.072574     0.011735      0.99927 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17821    0.0093758     0.018103     0.010454      0.18489 Adrenal_Gland
Artery_Aorta                        COVAR   17821    -0.025319    -0.051636      0.01082      0.99035 Artery_Aorta
Artery_Coronary                     COVAR   17821    -0.035137    -0.069903     0.012575       0.9974 Artery_Coronary
Artery_Tibial                       COVAR   17821     -0.02386    -0.049093     0.010584      0.98791 Artery_Tibial
Bladder                             COVAR   17821    -0.033796    -0.065861     0.013748      0.99301 Bladder
Brain_Amygdala                      COVAR   17821     0.019317     0.032895    0.0082314    0.0094737 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17821     0.023276     0.041103    0.0075961    0.0010929 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17821      0.02035     0.035137    0.0082811    0.0070024 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17821     0.029597      0.05942    0.0064055    1.928e-06 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17821     0.031617     0.062794    0.0066039   8.5132e-07 Brain_Cerebellum
Brain_Cortex                        COVAR   17821     0.026193     0.047759    0.0075197    0.0002483 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17821     0.025806      0.04754    0.0072547   0.00018797 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17821     0.018569     0.031435    0.0083835     0.013387 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17821     0.025425     0.043755    0.0084824    0.0013633 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17821      0.02053      0.03561    0.0079852    0.0050738 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17821     0.018777     0.031937    0.0083328     0.012125 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17821     0.010648     0.019138    0.0090539      0.11979 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17821     0.013646     0.023483    0.0089867     0.064455 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17821    -0.020665    -0.039738     0.013305       0.9398 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17821   -0.0086203    -0.018464     0.006864      0.89541 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17821   -0.0040047   -0.0087437    0.0051281      0.78258 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17821    0.0015811     0.003099     0.012751      0.45066 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17821    0.0052214     0.010336     0.012171      0.33396 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17821    -0.010751    -0.021035     0.013219      0.79197 Colon_Sigmoid
Colon_Transverse                    COVAR   17821    -0.032957    -0.060602     0.012209      0.99652 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17821    -0.013729    -0.027018     0.013477      0.84582 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17821    -0.016538    -0.031974    0.0080238      0.98035 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17821    -0.012952    -0.025541     0.013059      0.83935 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17821   -0.0023255   -0.0045105     0.012441      0.57414 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17821    -0.018114     -0.03251    0.0099706      0.96536 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17821    -0.013805    -0.023026    0.0094799      0.92733 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17821    -0.023737    -0.041713    0.0094891      0.99381 Kidney_Cortex
Kidney_Medulla                      COVAR   17821    -0.029417    -0.054413    0.0097525      0.99872 Kidney_Medulla
Liver                               COVAR   17821     -0.01025    -0.018438    0.0066643      0.93797 Liver
Lung                                COVAR   17821    -0.022262    -0.043077    0.0096237      0.98964 Lung
Minor_Salivary_Gland                COVAR   17821    -0.015805    -0.029411     0.010153      0.94022 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17821    0.0088054     0.016644    0.0072506       0.1123 Muscle_Skeletal
Nerve_Tibial                        COVAR   17821    0.0089865     0.018085     0.010647      0.19932 Nerve_Tibial
Ovary                               COVAR   17821   0.00048106   0.00097486     0.010122      0.48105 Ovary
Pancreas                            COVAR   17821    -0.010517    -0.017575    0.0087753      0.88462 Pancreas
Pituitary                           COVAR   17821     0.026598     0.049624    0.0094141    0.0023645 Pituitary
Prostate                            COVAR   17821   -0.0091203    -0.017302     0.012648      0.76457 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17821     -0.01672    -0.032246    0.0081369      0.98005 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17821    -0.016795    -0.032586    0.0081532      0.98029 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17821    -0.028107    -0.051707     0.010104      0.99729 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17821    -0.017327    -0.034357    0.0077356      0.98745 Spleen
Stomach                             COVAR   17821     -0.03106    -0.056395     0.012561      0.99329 Stomach
Testis                              COVAR   17821     0.010646     0.018366    0.0058613     0.034669 Testis
Thyroid                             COVAR   17821   -0.0074596    -0.014776     0.010218      0.76731 Thyroid
Uterus                              COVAR   17821   0.00070705      0.00144     0.011436      0.47535 Uterus
Vagina                              COVAR   17821    -0.019126    -0.036586     0.011623      0.95007 Vagina
Whole_Blood                         COVAR   17821   -0.0078669    -0.014219    0.0059027      0.90869 Whole_Blood
