annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	21	0.0144329896907217	1.54818912171495	0.0540006913959427
UTR5	71546	0.00285251910856087	8	0.00549828178694158	1.92751795086678	0.075985827525184
downstream	284177	0.0113300579027968	44	0.0302405498281787	2.66905518820993	1.12129768250737e-08
exonic	254736	0.0101562534263042	31	0.0213058419243986	2.09780526638076	0.00018502651114676
intergenic	11684523	0.465858680176655	767	0.527147766323024	1.13156154163131	3.21219799697063e-06
intronic	9137749	0.364319509570527	200	0.13745704467354	0.377298061351638	1.78561268015151e-83
ncRNA_exonic	259951	0.0103641740249561	35	0.0240549828178694	2.32097442207618	1.13402169962558e-05
ncRNA_intronic	2884355	0.114998431126451	292	0.200687285223368	1.74513063576228	6.23256558415359e-21
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	2	0.0013745704467354	12.1825264410525	0.012077953413462
upstream	266686	0.0106326966005879	55	0.0378006872852234	3.55513645363805	3.19508906804995e-15
