# TOTAL_GENES = 17346
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17346   -0.0075015    -0.014977      0.01095      0.75334 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17346    -0.018236    -0.035437     0.011356      0.94585 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17346   -0.0092635    -0.017888     0.010218      0.81768 Adrenal_Gland
Artery_Aorta                        COVAR   17346    -0.017829    -0.036395     0.010449      0.95601 Artery_Aorta
Artery_Coronary                     COVAR   17346    -0.023242    -0.046285     0.012134      0.97228 Artery_Coronary
Artery_Tibial                       COVAR   17346   -0.0060716    -0.012504     0.010246      0.72327 Artery_Tibial
Bladder                             COVAR   17346    -0.017951    -0.035004     0.013289      0.91162 Bladder
Brain_Amygdala                      COVAR   17346     0.012714     0.021666    0.0079382     0.054633 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17346     0.015269     0.026979    0.0073275     0.018596 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17346      0.01082     0.018694    0.0079754     0.087462 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17346     0.019433     0.039007    0.0062024   0.00086613 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17346     0.020477     0.040662    0.0063908   0.00067864 Brain_Cerebellum
Brain_Cortex                        COVAR   17346     0.016174     0.029505    0.0072523     0.012873 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17346     0.015816     0.029149    0.0069979     0.011915 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17346     0.013764     0.023317     0.008069     0.044028 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17346     0.013712     0.023609    0.0082215      0.04769 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17346     0.015197     0.026373    0.0077141     0.024426 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17346     0.011032     0.018777    0.0080326     0.084823 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17346    0.0078595     0.014132    0.0087343      0.18411 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17346    0.0080001     0.013776    0.0086885      0.17859 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17346    -0.020133     -0.03873     0.012884      0.94092 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17346   -0.0031759    -0.006806    0.0065868      0.68515 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17346  -0.00060422   -0.0013185    0.0049511      0.54856 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17346   -0.0049227   -0.0096523     0.012309      0.65539 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17346    -0.013905    -0.027541     0.011736      0.88195 Cervix_Endocervix
