# TOTAL_GENES = 17346
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17346   -0.0040054    -0.007867     0.013716      0.61486
Adrenal_Gland       COVAR   17346   -0.0015114   -0.0029185      0.01054      0.55701
Bladder             COVAR   17346   -0.0067665    -0.013194     0.016396      0.66008
Blood               COVAR   17346    0.0018893    0.0033944     0.006295      0.38204
Blood_Vessel        COVAR   17346    -0.004259   -0.0086446     0.012036      0.63827
Brain               COVAR   17346     0.016932     0.029417     0.007003    0.0078112
Breast              COVAR   17346    -0.012248    -0.023562     0.016243      0.77459
Cervix_Uteri        COVAR   17346    0.0016838    0.0033092      0.01449      0.45375
Colon               COVAR   17346     0.010199     0.019099     0.016142      0.26374
Esophagus           COVAR   17346    0.0071804     0.013531      0.01745      0.34036
Fallopian_Tube      COVAR   17346   -0.0067044    -0.013013     0.014119      0.68255
Heart               COVAR   17346   -0.0054191   -0.0093287     0.009589      0.71401
Kidney              COVAR   17346  -0.00041911  -0.00073773    0.0096326      0.51735
Liver               COVAR   17346   -0.0029897    -0.005385    0.0066171       0.6743
Lung                COVAR   17346   -0.0038876   -0.0075199     0.010703      0.64177
Muscle              COVAR   17346  -0.00093021   -0.0017598    0.0070275      0.55265
Nerve               COVAR   17346    0.0022346    0.0044993     0.010606      0.41657
Ovary               COVAR   17346    0.0077894     0.015796     0.010398      0.22691
Pancreas            COVAR   17346   -0.0087937     -0.01471     0.008848      0.83985
Pituitary           COVAR   17346     0.021177     0.039497    0.0084729     0.006225
Prostate            COVAR   17346   -0.0058749     -0.01115     0.014053      0.66204
Salivary_Gland      COVAR   17346    -0.019678    -0.036635      0.01097      0.96357
Skin                COVAR   17346   0.00049531   0.00094476     0.010237      0.48071
Small_Intestine     COVAR   17346   -0.0023912   -0.0043991     0.010941       0.5865
Spleen              COVAR   17346   -0.0051271    -0.010166    0.0080444      0.73805
Stomach             COVAR   17346    -0.024579    -0.044671     0.013766       0.9629
Testis              COVAR   17346   0.00060884    0.0010514    0.0056447      0.45705
Thyroid             COVAR   17346   -0.0048293   -0.0095674      0.01105      0.66896
Uterus              COVAR   17346   0.00048821   0.00099506      0.01226      0.48412
Vagina              COVAR   17346    0.0083821     0.016035     0.012874       0.2575
