annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	122	0.0272443054935239	2.92242551942428	2.8087823494293e-24
UTR5	71546	0.00285251910856087	40	0.00893255917820455	3.13146339717638	8.23981740104543e-10
downstream	284177	0.0113300579027968	61	0.0136221527467619	1.2023021297534	0.157060535949297
exonic	254736	0.0101562534263042	50	0.0111656989727557	1.09939152796612	0.501585956211256
intergenic	11684523	0.465858680176655	1178	0.263063867798124	0.564685985239922	4.25197850566938e-171
intronic	9137749	0.364319509570527	2653	0.592451987494417	1.62618792551851	3.65794899035252e-210
ncRNA_exonic	259951	0.0103641740249561	58	0.0129522108083966	1.24970989267536	0.0893882729870316
ncRNA_intronic	2884355	0.114998431126451	269	0.0600714604734256	0.5223676521932	6.41667581920902e-36
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	0	0	0	1
upstream	266686	0.0106326966005879	47	0.0104957570343904	0.987120899679393	1
