# MEAN_SAMPLE_SIZE = 27546
# TOTAL_GENES = 14552
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14552   2.7007e-05   0.00078015   0.00041433      0.47402
9_pcw        COVAR   14552   0.00011037    0.0026358   0.00051033      0.41439
12_pcw       COVAR   14552   2.4184e-06   6.6754e-05   0.00049322      0.49804
13_pcw       COVAR   14552   -8.761e-05   -0.0025242   0.00047234      0.57357
16_pcw       COVAR   14552  -0.00027608    -0.007164   0.00058507      0.68149
17_pcw       COVAR   14552   0.00024377    0.0061312   0.00064382      0.35249
19_pcw       COVAR   14552  -0.00019289   -0.0060619   0.00045255      0.66503
21_pcw       COVAR   14552   0.00039464    0.0099694   0.00066843      0.27747
24_pcw       COVAR   14552  -0.00043419    -0.012687   0.00058227      0.77206
26_pcw       COVAR   14552  -0.00076582    -0.016024   0.00098106      0.78248
37_pcw       COVAR   14552  -0.00090618    -0.027559   0.00059928      0.93474
4_mos        COVAR   14552    0.0015451     0.041192    0.0012263      0.10386
10_mos       COVAR   14552   1.6002e-05    0.0004833   0.00074372      0.49142
1_yrs        COVAR   14552    0.0014499     0.033813   0.00087587      0.04893
2_yrs        COVAR   14552  -0.00050466    -0.010633   0.00060328      0.79856
3_yrs        COVAR   14552  -0.00067031    -0.016824   0.00070244      0.83001
4_yrs        COVAR   14552  -0.00032926    -0.011277   0.00051809      0.73745
8_yrs        COVAR   14552   -0.0010879    -0.032138   0.00082825      0.90548
11_yrs       COVAR   14552   -2.769e-05   -0.0007348   0.00081409      0.51357
13_yrs       COVAR   14552   0.00026529    0.0060715   0.00094892      0.38991
15_yrs       COVAR   14552   0.00083677     0.019694   0.00086419      0.16646
18_yrs       COVAR   14552  -0.00031278   -0.0067118   0.00082445      0.64779
19_yrs       COVAR   14552   0.00035003    0.0090438   0.00074859      0.32004
21_yrs       COVAR   14552   0.00056975     0.013506   0.00084207      0.24934
23_yrs       COVAR   14552  -0.00049962    -0.011163   0.00098695      0.69365
30_yrs       COVAR   14552    0.0002542     0.007394   0.00061716      0.34021
36_yrs       COVAR   14552     0.000186    0.0039693   0.00095977      0.42317
37_yrs       COVAR   14552   0.00048078     0.010467   0.00092593       0.3018
40_yrs       COVAR   14552   0.00056617     0.016281   0.00072518      0.21749
