# MEAN_SAMPLE_SIZE = 27532
# TOTAL_GENES = 17956
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17956    0.0088096     0.017327     0.014415      0.27056
Adrenal_Gland       COVAR   17956    -0.010417    -0.020142     0.011253       0.8227
Bladder             COVAR   17956      0.01016     0.019842     0.017299      0.27851
Blood               COVAR   17956    0.0034616    0.0062212    0.0067052      0.30284
Blood_Vessel        COVAR   17956     0.019193     0.038976     0.012714     0.065589
Brain               COVAR   17956     0.025828     0.044931    0.0073654   0.00022752
Breast              COVAR   17956    -0.014602    -0.028139     0.017165      0.80252
Cervix_Uteri        COVAR   17956     0.024758     0.048741     0.015389     0.053846
Colon               COVAR   17956     0.014004     0.026268     0.017042      0.20562
Esophagus           COVAR   17956      0.02425     0.045767     0.018699     0.097346
Fallopian_Tube      COVAR   17956     0.033815     0.065758     0.015077     0.012459
Heart               COVAR   17956   -0.0036959   -0.0063601     0.010315      0.63994
Kidney              COVAR   17956    -0.013996    -0.024669     0.010282      0.91327
Liver               COVAR   17956    -0.011721     -0.02109    0.0071203      0.95013
Lung                COVAR   17956    -0.015623    -0.030311     0.011484      0.91315
Muscle              COVAR   17956   0.00060263    0.0011394    0.0074426      0.46773
Nerve               COVAR   17956    0.0023925    0.0048258     0.011245      0.41576
Ovary               COVAR   17956     0.010925     0.022172     0.011089      0.16226
Pancreas            COVAR   17956     -0.02632    -0.044019    0.0094344      0.99736
Pituitary           COVAR   17956     0.019115     0.035754    0.0088574      0.01547
Prostate            COVAR   17956    -0.023945    -0.045531      0.01491      0.94586
Salivary_Gland      COVAR   17956    -0.036936    -0.068891     0.011648      0.99924
Skin                COVAR   17956    -0.015165    -0.028988     0.010949      0.91698
Small_Intestine     COVAR   17956    -0.014492    -0.026727     0.011781      0.89068
Spleen              COVAR   17956    0.0079488     0.015785    0.0085659      0.17672
Stomach             COVAR   17956    -0.042949    -0.078137     0.014744      0.99821
Testis              COVAR   17956    0.0036735    0.0063459    0.0060238      0.27099
Thyroid             COVAR   17956   -0.0037094   -0.0073626       0.0117       0.6244
Uterus              COVAR   17956     0.023471     0.047889     0.012934     0.034793
Vagina              COVAR   17956   -0.0097577    -0.018705     0.013794      0.76033
