# MEAN_SAMPLE_SIZE = 150640
# TOTAL_GENES = 14063
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14063  -0.00085601    -0.025233   0.00049415      0.95838
9_pcw        COVAR   14063  -0.00028446   -0.0069081   0.00060719      0.68028
12_pcw       COVAR   14063    0.0006007     0.016751   0.00058636      0.15282
13_pcw       COVAR   14063   0.00019298    0.0056332   0.00055522      0.36408
16_pcw       COVAR   14063   0.00067969     0.017811   0.00069851      0.16527
17_pcw       COVAR   14063    0.0011977     0.030438   0.00076388     0.058466
19_pcw       COVAR   14063  -0.00028878   -0.0091909   0.00053343      0.70587
21_pcw       COVAR   14063     0.002132     0.054301   0.00080292    0.0039664
24_pcw       COVAR   14063   0.00093497     0.027565   0.00070038     0.090958
26_pcw       COVAR   14063   -0.0036834    -0.077508    0.0011855      0.99905
37_pcw       COVAR   14063   -0.0023182     -0.07129   0.00069397      0.99958
4_mos        COVAR   14063   0.00095149     0.025407    0.0014532      0.25632
10_mos       COVAR   14063    0.0005035     0.015225   0.00089679      0.28725
1_yrs        COVAR   14063    0.0054616      0.12646     0.001047   9.2527e-08
2_yrs        COVAR   14063   -0.0028877     -0.06167   0.00072462      0.99997
3_yrs        COVAR   14063   -0.0025017     -0.06315   0.00083877      0.99857
4_yrs        COVAR   14063    -0.001738    -0.059979   0.00061791      0.99754
8_yrs        COVAR   14063  -0.00092659    -0.027328   0.00098108      0.82752
11_yrs       COVAR   14063    0.0020645     0.054112   0.00098348     0.017912
13_yrs       COVAR   14063    0.0028751     0.065499    0.0011374    0.0057468
15_yrs       COVAR   14063    0.0044574      0.10343     0.001041    9.342e-06
18_yrs       COVAR   14063   -0.0028869    -0.062023    0.0010091      0.99789
19_yrs       COVAR   14063    0.0030386     0.077933   0.00089351   0.00033698
21_yrs       COVAR   14063    0.0037799     0.088418     0.001014    9.705e-05
23_yrs       COVAR   14063  -2.7402e-06  -6.0519e-05    0.0011914      0.50092
30_yrs       COVAR   14063    0.0015821     0.045904   0.00074296     0.016619
36_yrs       COVAR   14063    0.0037305     0.079016    0.0011448   0.00056128
37_yrs       COVAR   14063    0.0041075     0.088318    0.0011014   9.6438e-05
40_yrs       COVAR   14063  -0.00094028    -0.026888   0.00086596      0.86121
