# TOTAL_GENES = 17219
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17219    -0.083651     -0.16671     0.013804            1 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17219    -0.094376     -0.18304     0.014313            1 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17219    -0.026384    -0.050869     0.012942      0.97925 Adrenal_Gland
Artery_Aorta                        COVAR   17219    -0.038481    -0.078438     0.013179      0.99825 Artery_Aorta
Artery_Coronary                     COVAR   17219    -0.059314      -0.1179     0.015242      0.99995 Artery_Coronary
Artery_Tibial                       COVAR   17219    -0.026139    -0.053758     0.012903       0.9786 Artery_Tibial
Bladder                             COVAR   17219     -0.11103     -0.21602     0.016834            1 Bladder
Brain_Amygdala                      COVAR   17219     0.079346      0.13499     0.010086   1.9284e-15 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17219     0.087418       0.1542    0.0092857   2.7012e-21 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17219     0.081066      0.13983      0.01012   6.1214e-16 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17219     0.085723      0.17182    0.0077839   2.0934e-28 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17219     0.087526      0.17354    0.0080266   6.8669e-28 Brain_Cerebellum
Brain_Cortex                        COVAR   17219     0.091003      0.16573     0.009161   1.7344e-23 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17219     0.091565      0.16846    0.0088374   2.2385e-25 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17219     0.082563      0.13962     0.010257   4.4546e-16 Brain_Hippocampus
