# ALPHA = 0.05
# NUMBER_OF_TESTS = 15484

# _SET1_  VARIABLE = Curated_gene_sets:nikolsky_breast_cancer_16q24_amplicon (set)
# _SET1_  NGENES = 53
# _SET1_  P-VALUE = 3.65481e-07
_SET1_   GENE              CHR     START      STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000131149    16  85645015  85709810    175      37  148964       1.9325     0.001447    3.1974e-14       1.9325
_SET1_   ENSG00000131153    16  85709804  85723679     44       6  152911       1.9147    0.0025435    3.1974e-14       1.9147
_SET1_   ENSG00000154102    16  85723690  85784735    228      20  155366      0.32645     0.080936    3.1863e-14      0.32645
_SET1_   ENSG00000131148    16  85805364  85833214     93      10  153927       1.5344      0.01087    3.1974e-14       1.5344
_SET1_   ENSG00000131143    16  85832239  85840650     16       4  148922       2.1453    0.0020065    3.1974e-14       2.1453
_SET1_   ENSG00000140941    16  87417601  87438385     71      15  139204       2.1807   0.00083991    3.1974e-14       2.1807
_SET1_   ENSG00000140948    16  87439852  87525651    313      13  141854       1.9995    0.0011728    3.1974e-14       1.9995
_SET1_   ENSG00000154118    16  87635441  87731762    495      57  155215        2.245    0.0002594    3.1974e-14        2.245
_SET1_   ENSG00000104731    16  87730091  87799598    341      23  156251       1.4221    0.0074245    3.1974e-14       1.4221
_SET1_   ENSG00000103257    16  87863629  87903094    192      28  155999      -1.6036      0.73266    3.1974e-14      -1.6036
_SET1_   ENSG00000174990    16  87921625  87970135    238      42  152712    -0.061846       0.1735    3.1863e-14    -0.061846
_SET1_   ENSG00000172530    16  87982850  88110924    560      19  155648       -1.759      0.65939    3.1974e-14       -1.759
_SET1_   ENSG00000179588    16  88519725  88603424    324      34  156648      -1.1309      0.54774    3.1974e-14      -1.1309
_SET1_   ENSG00000158545    16  88636789  88698374    221      31  149587     -0.54827      0.29406    3.1863e-14     -0.54827
_SET1_   ENSG00000124391    16  88704999  88706881      4       2  149025       1.1457     0.026555    3.1974e-14       1.1457
_SET1_   ENSG00000051523    16  88709691  88717560     26       8  157602     -0.28812      0.28569    3.1863e-14     -0.28812
_SET1_   ENSG00000167508    16  88718343  88729569     39      10  150709       1.7406    0.0040499    3.1974e-14       1.7406
_SET1_   ENSG00000185669    16  88744090  88752901     17       5  150482       2.2665    0.0009619    3.1974e-14       2.2665
_SET1_   ENSG00000158717    16  88762903  88772829     52      15  153655        1.404     0.010204    3.1974e-14        1.404
_SET1_   ENSG00000174177    16  88772871  88781794     60      11  155152      0.36956      0.11428    3.1863e-14      0.36956
_SET1_   ENSG00000103335    16  88781751  88851619    371      45  149273      0.90305     0.016064    3.1863e-14      0.90305
_SET1_   ENSG00000167513    16  88869621  88875666     17       4  156296       1.6874    0.0097613    3.1974e-14       1.6874
_SET1_   ENSG00000198931    16  88875747  88878352      8       4  156341       2.3433    0.0014679    3.1974e-14       2.3433
_SET1_   ENSG00000141012    16  88880142  88923378    276      19  154800       1.2453     0.013441    3.1974e-14       1.2453
_SET1_   ENSG00000167515    16  88922628  88929094     27       4  152250       1.0207     0.049539    3.1974e-14       1.0207
_SET1_   ENSG00000205022    16  88928034  88933068     21       6  149884       1.0656      0.03665    3.1974e-14       1.0656
_SET1_   ENSG00000129993    16  88941266  89043612    442      39  148489      0.12643     0.092592    3.1863e-14      0.12643
_SET1_   ENSG00000176715    16  89154783  89222254    353      21  153434       1.9845    0.0010669    3.1974e-14       1.9845
_SET1_   ENSG00000129910    16  89238175  89261900     86      12  155352       3.0969    4.641e-05    3.1974e-14       3.0969
_SET1_   ENSG00000170100    16  89284118  89295363     62       7  151989      0.73726     0.082208    3.1863e-14      0.73726
_SET1_   ENSG00000167522    16  89334038  89556969    406      26  152381        2.495    8.816e-05    3.1974e-14        2.495
_SET1_   ENSG00000197912    16  89557325  89624176    206      12  156025       2.2694   0.00045679    3.1974e-14       2.2694
_SET1_   ENSG00000167526    16  89627065  89630950     17       2  158524       3.6745   1.2495e-05    3.1974e-14       3.6745
_SET1_   ENSG00000178773    16  89642176  89663654     77      18  153090       4.1137   3.1892e-07    3.1974e-14       4.1137
_SET1_   ENSG00000015413    16  89679716  89704839     79      12  154752       3.8726   7.8981e-07    3.1974e-14       3.8726
_SET1_   ENSG00000131165    16  89710839  89724253     42       8  156142        3.373   1.0684e-05    3.1974e-14        3.373
_SET1_   ENSG00000167523    16  89724210  89737680     53      11  150917       3.5657   3.2908e-06    3.1974e-14       3.5657
_SET1_   ENSG00000185324    16  89747145  89762772     62      10  151128       2.4071   0.00046946    3.1974e-14       2.4071
_SET1_   ENSG00000158792    16  89762751  89768113     15       4  152582       3.3968   1.1684e-05    3.1974e-14       3.3968
_SET1_   ENSG00000075399    16  89773542  89787394     34      11  143970        3.409   6.0892e-06    3.1974e-14        3.409
_SET1_   ENSG00000158805    16  89786808  89807311    107      15  152258       4.1214    1.775e-07    3.1974e-14       4.1214
_SET1_   ENSG00000187741    16  89803957  89883065    422      16  154433       3.8973   1.9177e-07    3.1974e-14       3.8973
_SET1_   ENSG00000204991    16  89884587  89937727    160      15  155014       2.9317   5.0153e-05    3.1974e-14       2.9317
_SET1_   ENSG00000141002    16  89940000  89977792    112       7  150541      0.89591     0.051611    3.1863e-14      0.89591
_SET1_   ENSG00000258839    16  89978527  89987385     32       6  153529       2.9743   6.5887e-05    3.1974e-14       2.9743
_SET1_   ENSG00000198211    16  89985573  90002500     59      12  144159       1.2163     0.017255    3.1974e-14       1.2163
_SET1_   ENSG00000258947    16  89987800  90005169     65      11  143384       1.0684     0.023878    3.1974e-14       1.0684
_SET1_   ENSG00000140995    16  90014333  90034468     90      14  144271       1.8402    0.0033594    3.1974e-14       1.8402
_SET1_   ENSG00000177946    16  90036206  90038942      7       3  130926        1.728    0.0085136    3.1974e-14        1.728
_SET1_   ENSG00000003249    16  90071273  90086536     57      13  151532       2.7732   0.00015497    3.1974e-14       2.7732
_SET1_   ENSG00000141013    16  90086037  90111383    111      15  155973       2.4084   0.00041736    3.1974e-14       2.4084
_SET1_   ENSG00000221819    16  90095316  90096309      6       2  161405       1.6442     0.013206    3.1974e-14       1.6442
_SET1_   ENSG00000126856    16  90122974  90158480    106      14  154154       2.7543   0.00020915    3.1974e-14       2.7543

# _SET2_  VARIABLE = GO_bp:go_regulation_of_neuron_differentiation (set)
# _SET2_  NGENES = 613
# _SET2_  P-VALUE = 9.7314e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000131584     1    1227756    1244989     41       8  142670       1.4847      0.01546    3.1974e-14       1.4847
_SET2_   ENSG00000107404     1    1270656    1284730     40       9  141059      0.48081      0.12741    3.1863e-14      0.48081
_SET2_   ENSG00000197921     1    2460184    2461684      3       2  130114     -0.42901      0.48062    3.1863e-14     -0.42901
