ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000176083	ZNF683	1	26688125	26701013	-1	protein_coding	257101	ZNF683	0.00156069704939338	0.001198257	0	0	2	3.3894e-07	0.00313024035774176	eQTLGen_trans_eQTLs	+	No	NA	1.621e-09	rs6992333;rs11786083	31
ENSG00000116133	DHCR24	1	55315306	55352891	-1	protein_coding	1718	DHCR24	0.969136893394347	0.120324783	0	0	28	5.1826e-15	0	eQTLGen_trans_eQTLs	+	No	NA	3.802e-13	rs174592	38
ENSG00000173406	DAB1	1	57460451	59012406	-1	protein_coding	1600	DAB1	0.98140856728469	-0.328080028	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	3.803e-09	rs2126180:rs2126180;rs4916068	1
ENSG00000162600	OMA1	1	58881056	59012474	-1	protein_coding	115209	OMA1	3.51132911001781e-09	0.483706033	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	3.803e-09	rs2126180:rs2126180;rs4916068	1
ENSG00000134709	HOOK1	1	60280458	60342050	1	protein_coding	51361	HOOK1	4.15670073195207e-05	-0.06279745	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	1.621e-09	rs2126180:rs2126180;rs4916068	1
ENSG00000134716	CYP2J2	1	60358980	60392462	-1	protein_coding	1573	CYP2J2	4.51201698997771e-12	0.320327764	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	3.803e-09	rs2126180:rs2126180;rs4916068	1
ENSG00000162598	C1orf87	1	60452941	60539442	-1	protein_coding	127795	C1orf87	1.57688017827745e-17	-0.349159892	0	0	133	1.7363e-51	0	eQTLGen_cis_eQTLs	-	Yes	IMR90:Mesenchymal_Stem_Cell:hESC	1.621e-09	rs4916068;rs2126180;rs2126180:rs2126180	1
ENSG00000162599	NFIA	1	61330931	61928465	1	protein_coding	4774	NFIA	0.999555166212873	-0.180372327	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell:Mesendoderm:hESC	2.634e-09	rs2126180:rs2126180;rs4916068:rs4916068	1
ENSG00000132849	INADL	1	62208149	62629592	1	protein_coding	10207	INADL	6.18135248541528e-26	0.297697396	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	3.379e-09	rs2126180;rs4916068:rs4916068	1
ENSG00000132854	KANK4	1	62702651	62785085	-1	protein_coding	163782	KANK4	5.3984986278488e-08	-0.458433659	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	2.634e-09	rs2126180:rs2126180;rs4916068:rs4916068	1
ENSG00000134198	TSPAN2	1	115590632	115632121	-1	protein_coding	10100	TSPAN2	0.000100586967317338	1.134025592	0	0	6	4.5076e-09	0.000104766893661603	eQTLGen_trans_eQTLs	+	No	NA	1.621e-09	rs6992333;rs11786083	31
ENSG00000134193	REG4	1	120336641	120354283	-1	protein_coding	83998	REG4	5.62414830360332e-05	0.046690491	0	0	1	8.0669e-06	0.0487672153174337	eQTLGen_trans_eQTLs	+	No	NA	2.261e-11	rs6914824	18
ENSG00000158710	TAGLN2	1	159887897	159895522	-1	protein_coding	8407	TAGLN2	0.00329073326368993	-0.525893879	0	0	2	3.1621e-06	0.0226210551674295	eQTLGen_trans_eQTLs	+	No	NA	1.621e-09	rs6992333;rs11786083	31
ENSG00000177807	KCNJ10	1	160007257	160040038	-1	protein_coding	3766	KCNJ10	0.59838882297069	-1.301097271	0	0	2	2.5813e-06	0.0189702574356411	eQTLGen_trans_eQTLs	+	No	NA	3.177e-10	rs1233393;rs9257805;rs9393925	18
ENSG00000185630	PBX1	1	164524821	164868533	1	protein_coding	5087	PBX1	0.910582151189653	-1.129250962	0	0	81	1.34608e-15	5.2658784962468e-13	PsychENCODE_eQTLs:CMC_SVA_cis:GTEx/v8/Brain_Cortex	-	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	7.172e-09	rs10737496	2
ENSG00000162761	LMX1A	1	165171104	165325952	-1	protein_coding	4009	LMX1A	0.901260324312874	0.683426456	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell	7.172e-09	rs10737496	2
ENSG00000143171	RXRG	1	165370159	165414433	-1	protein_coding	6258	RXRG	0.937024401992312	0.697261647	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	5.851e-06	rs10737496	2
