GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs1922781	2	58882765	rs17190618	2017-03-30	27494321	Jones SE	2016-08-05	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/27494321	Genome-Wide Association Analyses in 128,266 Individuals Identifies New Morningness and Sleep Duration Loci.	Sleep duration	127,573 British individuals	47,180 individuals	2p16.1	VRK2	LINC01122			ENSG00000233723			rs17190618-A	rs17190618	0	17190618	intron_variant	0	0.84	5E-12	11.301029995663981		0.033	[0.023-0.043] hour decrease	NR [16761225] (imputed)	N
1	rs1922781	2	58882765	rs17190618	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep duration	111,975 European ancestry individuals	NA	2p16.1	VRK2	LINC01122			ENSG00000233723			rs17190618-T	rs17190618	0	17190618	intron_variant	0	NR	4E-6	5.3979400086720375		1.6	[0.93-2.27] minutes increase	Affymetrix [up to 73355677] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Insomnia	up to 12,674 European ancestry male cases, up to 19,481 European ancestry female cases, up to 16,009 European ancestry male controls, up to 10,964 European ancestry female controls,	NA	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-T	rs113851554	0	113851554	intron_variant	0	NR	9E-19	18.045757490560675		1.26	[1.20–1.33]	Affymetrix [up to 73355677] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2017-05-11	27992416	Lane JM	2016-12-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27992416	Genome-wide association analyses of sleep disturbance traits identify new loci and highlight shared genetics with neuropsychiatric and metabolic traits.	Sleep traits (multi-trait analysis)	At least 112,586 European ancestry individuals	NA	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-?	rs113851554	0	113851554	intron_variant	0	0.056	4E-16	15.397940008672037				Affymetrix [up to 73355677] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2017-09-11	28604731	Hammerschlag AR	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604731	Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.	Insomnia complaints	12,863 European ancestry male cases, 19,521 European ancestry female cases, 40,776 European ancestry male controls, 39,846 European ancestry female controls	1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-T	rs113851554	0	113851554	intron_variant	0	0.056	4E-19	18.397940008672037		8.94	z-score increase	Affymetrix [at least 12428592] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2017-09-11	28604731	Hammerschlag AR	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604731	Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.	Insomnia complaints (continuous)	12,863 European ancestry male cases, 19,521 European ancestry female cases, 40,776 European ancestry male controls, 39,846 European ancestry female controls	NA	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-	rs113851554	0	113851554	intron_variant	0	NR	6E-22	21.221848749616356		0.087	[0.069-0.105] unit increase	Affymetrix [at least 12428592] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2017-09-11	28604731	Hammerschlag AR	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604731	Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.	Insomnia complaints (dichotomous)	32,384 European ancestry cases,  27,128 European ancestry controls	NA	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-?	rs113851554	0	113851554	intron_variant	0		2E-19	18.69897000433602		1.27	[1.21-1.34]	Affymetrix [at least 12428592] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2017-12-05	29029846	Schormair B	2017-11-01	Lancet Neurol	www.ncbi.nlm.nih.gov/pubmed/29029846	Identification of novel risk loci for restless legs syndrome in genome-wide association studies in individuals of European ancestry: a meta-analysis.	Restless legs syndrome	15,126 European ancestry cases, 95,725 European ancestry controls	30,770 European ancestry cases, 286,913 European ancestry controls	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-T	rs113851554	0	113851554	intron_variant	0	0.07	2E-280	279.69897000433605		1.92	[1.85-1.99]	Affymetrix, Illumina [6864281] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2018-10-12	30120083	Ferguson A	2018-08-14	EBioMedicine	www.ncbi.nlm.nih.gov/pubmed/30120083	Genome-Wide Association Study of Circadian Rhythmicity in 71,500 UK Biobank Participants and Polygenic Association with Mood Instability.	Relative amplitude of rest-activity cycles	77,440 European ancestry individuals	NA	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-?	rs113851554	0	113851554	intron_variant	0	NR	6E-11	10.221848749616356		0.0048	unit increase	Affymetrix [7969123] (imputed)	N
2	rs11693221	2	66750564	rs113851554	2018-11-02	28604731	Hammerschlag AR	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604731	Genome-wide association analysis of insomnia complaints identifies risk genes and genetic overlap with psychiatric and metabolic traits.	Insomnia complaints	19,521 European ancestry female cases, 39,846 European ancestry female controls	1,983 Icelandic ancestry male cases, 1,791 Icelandic ancestry female cases, 2,064 Icelandic ancestry male controls, 1,727 Icelandic ancestry female controls	2p14	MEIS1	MEIS1			ENSG00000143995			rs113851554-T	rs113851554	0	113851554	intron_variant	0	0.056	7E-13	12.154901959985743		7.19	z-score increase	Affymetrix [at least 12428592] (imputed)	N
