GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs7531118	1	72750500	rs11209943	2018-09-17	29844566	Davies G	2018-05-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29844566	Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.	General cognitive ability	up to 300,486 European ancestry individuals	NA	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2083	16655	rs11209943-A	rs11209943	0	11209943	TF_binding_site_variant	1	NR	6E-11	10.221848749616356		6.546	z-score decrease	Affymetrix, Illumina [at least 2500000] (imputed)	N
1	rs7531118	1	72750500	rs11209943	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Menarche (age at onset)	approximately 242,000 European ancestry individuals	NA	1p31.1		NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2083	16655	rs11209943-?	rs11209943	0	11209943	TF_binding_site_variant	1	NR	3E-21	20.522878745280337				NR [~ 8900000] (imputed)	N
1	rs7531118	1	72751185	rs3101336	2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	0.61	1E-13	13.0	(Obesity class II)	1.12	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
1	rs7531118	1	72751185	rs3101336	2013-10-24	23563609	Wheeler E	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563609	Genome-wide SNP and CNV analysis identifies common and low-frequency variants associated with severe early-onset obesity.	Obesity (early onset extreme)	1,509 European ancestry cases, 5,380 European ancestry controls	971 European ancestry cases, 1,990 European ancestry controls	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	0.60	2E-8	7.698970004336019		1.21	[1.13-1.29]	Affymetrix [~ 2000000] (imputed)	N
1	rs7531118	1	72751185	rs3101336	2015-04-23	25231870	Perry JR	2014-07-23	Nature	www.ncbi.nlm.nih.gov/pubmed/25231870	Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche.	Menarche (age at onset)	Up to 182,413 European ancestry females	NA	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-T	rs3101336	0	3101336	regulatory_region_variant	1	0.4	5E-13	12.301029995663981		0.04	[0.03-0.05] unit increase	Affymetrix, Illumina [2441815] (imputed)	N
1	rs7531118	1	72751185	rs3101336	2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	0.611	6E-26	25.221848749616356		0.032	[0.026-0.038] kg/m2 increase	Affymetrix, Illumina [2550021]	N
1	rs7531118	1	72751185	rs3101336	2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	0.611	9E-17	16.045757490560675	(EA, women)	0.033	[0.026-0.041] kg/m2 increase	Affymetrix, Illumina [2550021]	N
1	rs7531118	1	72751185	rs3101336	2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	0.613	3E-26	25.522878745280337	(EA)	0.033	[0.027-0.039] kg/m2 increase	Affymetrix, Illumina [2550021]	N
1	rs7531118	1	72751185	rs3101336	2016-01-27	25673413	Locke AE	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673413	Genetic studies of body mass index yield new insights for obesity biology.	Body mass index	up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals	up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals	1p31.1	NEGR1	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	0.614	2E-16	15.698970004336019	(EA, men)	0.035	[0.026-0.043] kg/m2 increase	Affymetrix, Illumina [2550021]	N
1	rs7531118	1	72751185	rs3101336	2016-09-28	26604143	Felix JF	2015-11-24	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/26604143	Genome-wide association analysis identifies three new susceptibility loci for childhood body mass index.	Childhood body mass index	34,744 European ancestry children	11,313 European ancestry children	1p31.1	NR	NEGR1 - RPL31P12	ENSG00000172260	ENSG00000227207		2768	15970	rs3101336-C	rs3101336	0	3101336	regulatory_region_variant	1	NR	4E-8	7.3979400086720375				Affymetrix, Illumina [2499691] (imputed)	N
