GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs2275180	1	 43760236	rs7549876	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	White blood cell count	approximately 444,000 European ancestry individuals	NA	1p34.2		C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		8948	6417	rs7549876-?	rs7549876	0	7549876	intergenic_variant	1	NR	6E-9	8.22184874961636		NA		NR [~ 8900000] (imputed)	N
1	rs2275180	1	 43761651	rs4660253	2020-09-18	32888494	Vuckovic D	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Hemoglobin	408,112 British individuals	NA	1p34.2		C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		10363	5002	rs4660253-T	rs4660253	0	4660253	intergenic_variant	1	0.617593	1E-17	17		0.019771883	[0.015-0.024] unit decrease	Affymetrix [93095623] (imputed)	N
1	rs2275180	1	 43761651	rs4660253	2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Hematocrit	562,259 European ancestry individuals	NA	1p34.2	NR	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		10363	5002	rs4660253-T	rs4660253	0	4660253	intergenic_variant	1	0.617445	4E-17	16.397940008672		0.016408	[0.013-0.02] SD unit decrease	Affymetrix, Illumina [50640577] (imputed)	N
1	rs2275180	1	 43761651	rs4660253	2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Hematocrit	737,823 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	NA	1p34.2	NR	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		10363	5002	rs4660253-T	rs4660253	0	4660253	intergenic_variant	1	0.648248	8E-15	14.0969100130081		NA		Affymetrix, Illumina [24558453] (imputed)	N
1	rs2275180	1	 43761651	rs4660253	2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Hemoglobin concentration	746,431 African American or Afro-Caribbean, African ancestry, European ancestry, East Asian ancestry, Hispanic or Latin American and South Asian ancestry individuals	NA	1p34.2	NR	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		10363	5002	rs4660253-T	rs4660253	0	4660253	intergenic_variant	1	0.649735	2E-19	18.698970004336		NA		Affymetrix, Illumina [24653286] (imputed)	N
1	rs2275180	1	 43761651	rs4660253	2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Hemoglobin concentration	563,946 European ancestry individuals	NA	1p34.2	NR	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		10363	5002	rs4660253-T	rs4660253	0	4660253	intergenic_variant	1	0.617493	2E-21	20.698970004336		0.018513	[0.015-0.022] SD unit decrease	Affymetrix, Illumina [50638016] (imputed)	N
1	rs2275180	1	 43761651	rs4660253	2020-09-18	32888494	Vuckovic D	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Hematocrit	408,112 British individuals	NA	1p34.2		C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		10363	5002	rs4660253-T	rs4660253	0	4660253	intergenic_variant	1	0.617588	2E-15	14.698970004336		0.018342465	[0.014-0.023] unit decrease	Affymetrix [93095623] (imputed)	N
1	rs2275180	1	 43764084	rs3120047	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p34.2	NR	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		12796	2569	rs3120047-?	rs3120047	0	3120047	intergenic_variant	1	NR	1E-8	8	(right pallidum)	NA		NR [9227495] (imputed)	N
1	rs2275180	1	 43764084	rs3120047	2020-06-17	32327693	Oskarsson GR	2020-04-23	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/32327693	Predicted loss and gain of function mutations in ACO1 are associated with erythropoiesis.	Hemoglobin levels	684,122 European ancestry individuals	NA	1p34.2	TIE1	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		12796	2569	rs3120047-G	rs3120047	0	3120047	intergenic_variant	1		1E-10	10		0.014	[NR] unit increase	Affymetrix, Illumina [43000000] (imputed)	N
1	rs2275180	1	 43764165	rs3120124	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p34.2	NR	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		12877	2488	rs3120124-?	rs3120124	0	3120124	intergenic_variant	1	NR	5E-11	10.301029995664	(left pallidum)	NA		NR [9227495] (imputed)	N
1	rs2275180	1	 43765089	rs1209384	2018-11-16	30072576	Emilsson V	2018-08-02	Science	www.ncbi.nlm.nih.gov/pubmed/30072576	Co-regulatory networks of human serum proteins link genetics to disease.	Blood protein levels	3,200 European ancestry individuals	NA	1p34.2	TIE1	C1orf210 - TIE1	ENSG00000253313	ENSG00000066056		13801	1564	rs1209384-G	rs1209384	0	1209384	intergenic_variant	1	0.594375	5E-16	15.301029995664	(TIE1, 2844_53_2)	0.20010738	[0.15-0.25] unit increase	Illumina [> 1000000] (imputed)	N
1	rs2275180	1	 43773033	rs2275180	2018-07-05	29875488	Sun BB	2018-06-06	Nature	www.ncbi.nlm.nih.gov/pubmed/29875488	Genomic atlas of the human plasma proteome.	Blood protein levels	3,301 European ancestry individuals	NA	1p34.2	TIE1	TIE1			ENSG00000066056	NA	NA	rs2275180-G	rs2275180	0	2275180	intron_variant	0	0.623	5E-24	23.301029995664	(Tyrosine-protein kinase receptor Tie-1, soluble, TIE1.2844.53.2)	0.25	[0.19-0.31] unit increase	Affymetrix [10572788] (imputed)	N
1	rs2275180	1	 43816532	rs839996	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Brain morphology (MOSTest)	26,502 European ancestry individuals	NA	1p34.2	C1orf210, TIE1, MPL, CDC20, ELOVL1, MED8, SZT2, HYI	MPL			ENSG00000117400	NA	NA	rs839996-?	rs839996	0	839996	intron_variant	0		1E-11	11		NA		NR [7428630] (imputed)	N
1	rs2275180	1	 43836928	rs652941	2021-06-29	33462484	Sinnott-Armstrong N	2021-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33462484	Genetics of 35 blood and urine biomarkers in the UK Biobank.	Insulin-like growth factor 1 levels	340,567 European ancestry individuals, 5,974 African ancestry individuals, 7,283 South Asian ancestry individuals	NA	1p34.2	NR	ELOVL1 - MED8	ENSG00000066322	ENSG00000159479		3183	12660	rs652941-C	rs652941	0	652941	intergenic_variant	1	NR	4E-11	10.397940008672		0.0163	[0.011-0.021] unit increase	Affymetrix [9000000] (imputed)	N
1	rs2275180	1	 43856410	rs839755	2018-11-29	30224653	Evangelou E	2018-09-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30224653	Genetic analysis of over 1 million people identifies 535 new loci associated with blood pressure traits.	Systolic blood pressure	757,601 European ancestry individuals	249,262 European ancestry individuals	1p34.2	SZT2	SZT2			ENSG00000198198	NA	NA	rs839755-A	rs839755	0	839755	intron_variant	0	0.6191	1E-19	19		0.2274	[0.18-0.28] mmHg decrease	Affymetrix, Illumina [~ 7100000] (imputed)	N
1	rs2842198	1	 43862158	rs839758	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p34.2	NR	SZT2			ENSG00000198198	NA	NA	rs839758-?	rs839758	0	839758	intron_variant	0	NR	4E-8	7.39794000867204	(right pallidum)	NA		NR [9227495] (imputed)	N
1	rs2842198	1	 43863857	rs839761	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p34.2	NR	SZT2			ENSG00000198198	NA	NA	rs839761-?	rs839761	0	839761	intron_variant	0	NR	5E-9	8.30102999566398	(left pallidum)	NA		NR [9227495] (imputed)	N
1	rs2842198	1	 43886494	rs2782643	2020-06-17	32327693	Oskarsson GR	2020-04-23	Commun Biol	www.ncbi.nlm.nih.gov/pubmed/32327693	Predicted loss and gain of function mutations in ACO1 are associated with erythropoiesis.	Hemoglobin levels	684,122 European ancestry individuals	NA	1p34.2	SZT2	SZT2			ENSG00000198198	NA	NA	rs2782643-T	rs2782643	0	2782643	missense_variant	0		2E-11	10.698970004336		0.015	[NR] unit increase	Affymetrix, Illumina [43000000] (imputed)	N
1	rs2842198	1	 43917409	rs2251804	2020-09-18	32888494	Vuckovic D	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888494	The Polygenic and Monogenic Basis of Blood Traits and Diseases.	Monocyte count	408,112 British individuals	NA	1p34.2	SZT2	SZT2, HYI			ENSG00000198198, ENSG00000178922	NA	NA	rs2251804-C	rs2251804	0	2251804	3_prime_UTR_variant	0	0.42489	6E-11	10.2218487496164		0.0146210585	[0.01-0.019] unit increase	Affymetrix [93095623] (imputed)	N
1	rs2842198	1	 43926305	rs2782652	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Systolic blood pressure	approximately 422,000 European ancestry individuals	NA	1p34.2		HYI-AS1 - PTPRF	ENSG00000229348	ENSG00000142949		3639	64553	rs2782652-?	rs2782652	0	2782652	regulatory_region_variant	1	NR	7E-19	18.1549019599857		NA		NR [~ 8900000] (imputed)	N
1	rs2842198	1	 43930738	rs2842198	2021-07-27	33479212	Yao X	2021-01-21	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/33479212	Integrative analysis of genome-wide association studies identifies novel loci associated with neuropsychiatric disorders.	Attention deficit hyperactivity disorder (MTAG)	at least 19,099 European ancestry cases, at least 34,194 European ancestry controls	2,726 European ancestry cases, 16,299 European ancestry controls	1p34.2	NR	HYI-AS1 - PTPRF	ENSG00000229348	ENSG00000142949		8072	60120	rs2842198-A	rs2842198	0	2842198	intergenic_variant	1	0.3976	8E-9	8.09691001300806		0.07193137	[0.047-0.096] unit decrease	NR [NR]	N
1	rs2842198	1	 43930738	rs2842198	2020-02-11	31835028	Cross-Disorder Group of the Psychiatric Genomics Consortium	2019-12-01	Cell	www.ncbi.nlm.nih.gov/pubmed/31835028	Genomic Relationships, Novel Loci, and Pleiotropic Mechanisms across Eight Psychiatric Disorders.	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)	19,009 European ancestry ADHD cases, 3,495 European ancestry anorexia cases, 18,381 European ancestry autism cases, 20,352 European ancestry bipolar disorder cases, 130,664 European ancestry major depression cases, 2,688 European ancestry OCD cases, 33,640 European ancestry schizophrenia cases, 4,645 European ancestry Tourette's cases, 494,162 European ancestry controls	NA	1p34.2	HYI, SZT2	HYI-AS1 - PTPRF	ENSG00000229348	ENSG00000142949		8072	60120	rs2842198-?	rs2842198	0	2842198	intergenic_variant	1		1E-8	8		NA		NR [6786993] (imputed)	N
