ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000120948	TARDBP	1	11072414	11085796	1	protein_coding	23435	TARDBP	0.980707836590808	-0.6803251	0	0	1	7.9919e-06	0.0484750555443345	eQTLGen_trans_eQTLs	-	No	NA	4.94e-10	rs549845	1
ENSG00000127129	EDN2	1	41944446	41950344	-1	protein_coding	1907	EDN2	0.0110864412384733	0.945715005	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	1.004e-08	rs11420276;rs3791101:rs3952787:rs150623615;rs3952787	1
ENSG00000198815	FOXJ3	1	42642210	42801548	-1	protein_coding	22887	FOXJ3	0.977575009123256	-1.12470823	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	1.083e-12	rs2842198;rs2275180:rs11420276;rs3791101;rs492929:rs11420276:rs150623615	1
ENSG00000066185	ZMYND12	1	42896000	42921938	-1	protein_coding	84217	ZMYND12	0.00105994735075674	-0.88231689	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	7.493e-08	rs2842198;rs2275180	1
ENSG00000127125	PPCS	1	42921788	42939056	1	protein_coding	79717	PPCS	0.00353633641897521	-0.233646949	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	7.493e-08	rs2842198;rs2275180	1
ENSG00000186409	CCDC30	1	42929001	43120335	1	protein_coding	728621	CCDC30	6.06674580228951e-12	-0.374475524	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	7.493e-08	rs2842198;rs2275180	1
ENSG00000171960	PPIH	1	43124096	43142429	1	protein_coding	10465	PPIH	0.00475502689084187	-0.262745745	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	5.845e-11	rs549845;rs150623615:rs11420276;rs673253;rs492929;rs34898652:rs150623615:rs11420276;rs34898652	1
ENSG00000065978	YBX1	1	43148098	43168020	1	protein_coding	4904	YBX1	0.990640769249964	-0.21329136	0	0	2	9.63607e-06	0.0276544	GTEx/v8/Prostate	-	No	NA	3.845e-06	rs150623615	1
ENSG00000164007	CLDN19	1	43198764	43205925	-1	protein_coding	149461	CLDN19	0.175565901482529	-0.312215209	0	0	1	3.86810564036e-05	0.049	DICE/B_cell_naive	+	No	NA	2.925e-06	rs150623615	1
ENSG00000164008	C1orf50	1	43232940	43263968	1	protein_coding	79078	C1orf50	0.00701592646307591	0.028316302	0	0	4	1.49082e-05	0.0460054	GTEx/v8/Cells_EBV-transformed_lymphocytes	-	No	NA	1.036e-07	rs2842198;rs2275180	1
ENSG00000177868	CCDC23	1	43272723	43282954	-1	protein_coding	374969	CCDC23	0.213154887650545	NA	0	0	126	4.5993e-10	0	eQTLGen_cis_eQTLs:BRAINEAC/PUTM	+	Yes	Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	1.69e-11	rs2275180;rs2842198;rs35947542;rs150623615;rs3791101;rs11420276;rs2275180:rs2842198:rs11420276:rs150623615:rs11420276;rs492929:rs11420276;rs3791101:rs3952787:rs150623615;rs3952787:rs2275180	1
