GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	52	11	135270	1.2241	0.11046	SAMD11
ENSG00000268179	1	861264	866445	20	4	129710	0.24853	0.40186	AL645608.1
ENSG00000188976	1	879584	894689	48	7	140180	2.7695	0.0028069	NOC2L
ENSG00000187961	1	895967	901095	17	3	143537	2.6913	0.0035588	KLHL17
ENSG00000187583	1	901877	911245	29	12	147524	1.3181	0.093735	PLEKHN1
ENSG00000187642	1	910579	917497	23	5	148846	-0.23291	0.59209	C1orf170
ENSG00000188290	1	934342	935552	3	1	148483	-0.81326	0.79197	HES4
ENSG00000187608	1	948803	949920	5	1	144844	-1.1998	0.88488	ISG15
ENSG00000188157	1	955503	991496	91	10	147094	-2.1712	0.98504	AGRN
ENSG00000237330	1	1006346	1009687	7	2	155717	0.069315	0.47237	RNF223
ENSG00000131591	1	1017198	1051741	111	13	149626	-1.0671	0.85704	C1orf159
ENSG00000162571	1	1109264	1133315	136	18	152029	1.8151	0.034755	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	151199	-1.0446	0.85189	TNFRSF18
ENSG00000186827	1	1146706	1149518	8	3	149976	2.7616	0.0028763	TNFRSF4
ENSG00000078808	1	1152288	1167411	94	6	154366	3.0574	0.0011165	SDF4
ENSG00000176022	1	1167629	1170421	7	2	123285	0.37665	0.35322	B3GALT6
ENSG00000184163	1	1177826	1182102	12	3	150873	3.3058	0.00047359	FAM132A
ENSG00000160087	1	1189289	1209265	47	7	133971	0.84266	0.19971	UBE2J2
ENSG00000162572	1	1215816	1227409	42	14	146601	2.8895	0.0019295	SCNN1D
ENSG00000131584	1	1227756	1244989	41	8	142670	2.1581	0.01546	ACAP3
ENSG00000169972	1	1243947	1247057	5	3	136036	0.61771	0.26838	PUSL1
ENSG00000127054	1	1246965	1260071	19	5	144249	1.268	0.10241	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	156929	2.2365	0.012659	GLTPD1
ENSG00000169962	1	1266694	1270686	14	5	145521	0.27181	0.39289	TAS1R3
ENSG00000107404	1	1270656	1284730	40	9	141059	1.1387	0.12741	DVL1
ENSG00000162576	1	1288069	1297157	28	5	147533	1.3779	0.08412	MXRA8
ENSG00000175756	1	1309110	1310875	9	4	141073	1.1487	0.12534	AURKAIP1
ENSG00000221978	1	1321091	1334708	19	8	141706	1.8188	0.034469	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	155843	0.75375	0.2255	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	12	5	148662	1.245	0.10657	MRPL20
