GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000237683	1	134901	139379	1	1	173005	-0.81338	0.792	AL627309.1
ENSG00000269831	1	738532	739137	2	1	173005	0.25945	0.39764	AL669831.1
ENSG00000269308	1	818043	819983	3	2	173005	-0.37034	0.64444	AL645608.2
ENSG00000187634	1	860260	879955	136	32	173005	0.4651	0.32093	SAMD11
ENSG00000268179	1	861264	866445	48	15	173005	0.19966	0.42087	AL645608.1
ENSG00000188976	1	879584	894689	97	21	173005	0.89148	0.18634	NOC2L
ENSG00000187961	1	895967	901095	39	10	173005	-0.31699	0.62438	KLHL17
ENSG00000187583	1	901877	911245	67	30	173005	1.2604	0.10376	PLEKHN1
ENSG00000187642	1	910579	917497	30	8	173005	0.92939	0.17634	C1orf170
ENSG00000188290	1	934342	935552	6	3	173005	0.50396	0.30715	HES4
ENSG00000187608	1	948803	949920	11	5	173005	0.95445	0.16993	ISG15
ENSG00000188157	1	955503	991496	227	37	173005	0.23903	0.40554	AGRN
ENSG00000237330	1	1006346	1009687	18	9	173005	0.035956	0.48566	RNF223
ENSG00000131591	1	1017198	1051741	178	23	173005	0.0054384	0.49783	C1orf159
ENSG00000162571	1	1109264	1133315	192	26	173005	1.0054	0.15735	TTLL10
ENSG00000186891	1	1138888	1142071	20	7	173005	1.9843	0.023611	TNFRSF18
ENSG00000186827	1	1146706	1149518	16	7	173005	-0.91544	0.82002	TNFRSF4
ENSG00000078808	1	1152288	1167411	127	10	173005	0.13409	0.44667	SDF4
ENSG00000176022	1	1167629	1170421	11	4	173005	0.017176	0.49315	B3GALT6
ENSG00000184163	1	1177826	1182102	18	6	173005	-1.2426	0.893	FAM132A
ENSG00000160087	1	1189289	1209265	84	19	173005	0.26069	0.39717	UBE2J2
ENSG00000162572	1	1215816	1227409	76	28	173005	0.4997	0.30864	SCNN1D
ENSG00000131584	1	1227756	1244989	103	24	173005	-0.10441	0.54158	ACAP3
ENSG00000169972	1	1243947	1247057	12	5	173005	0.12438	0.45051	PUSL1
ENSG00000127054	1	1246965	1260071	47	16	173005	-0.085921	0.53424	CPSF3L
ENSG00000224051	1	1260136	1264277	21	6	173005	0.019501	0.49222	GLTPD1
ENSG00000169962	1	1266694	1270686	24	11	173005	0.61877	0.26803	TAS1R3
ENSG00000107404	1	1270656	1284730	73	20	173005	0.63129	0.26392	DVL1
ENSG00000162576	1	1288069	1297157	46	12	173005	0.61594	0.26897	MXRA8
ENSG00000175756	1	1309110	1310875	12	5	173005	0.96165	0.16811	AURKAIP1
ENSG00000221978	1	1321091	1334708	43	18	173005	-0.21916	0.58674	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	173005	1.1036	0.13489	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	21	8	173005	0.63342	0.26323	MRPL20
ENSG00000235098	1	1353800	1357149	14	6	173005	-0.21958	0.5869	ANKRD65
ENSG00000205116	1	1361508	1363167	12	5	173005	-0.20283	0.58036	TMEM88B
ENSG00000179403	1	1370241	1378262	29	9	173005	0.17258	0.43149	VWA1
ENSG00000215915	1	1385069	1405538	115	22	173005	0.62847	0.26485	ATAD3C
ENSG00000160072	1	1407143	1433228	152	18	173005	0.39928	0.34484	ATAD3B
ENSG00000197785	1	1447531	1470067	137	26	173005	-0.74957	0.77324	ATAD3A
ENSG00000205090	1	1470554	1475833	17	8	173005	-1.4136	0.92126	TMEM240
ENSG00000160075	1	1477053	1510249	139	20	173005	-2.1211	0.98304	SSU72
ENSG00000215014	1	1510355	1511373	6	2	173005	-1.3637	0.91367	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	173005	1.0824	0.13953	C1orf233
ENSG00000197530	1	1550795	1565990	54	14	173005	-0.1431	0.55689	MIB2
ENSG00000248333	1	1570603	1590473	45	9	173005	-0.37198	0.64504	CDK11B
ENSG00000189339	1	1592939	1624167	118	28	173005	0.98318	0.16276	SLC35E2B
