GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000186092	1	69091	70008	3	2	21792	0.2364	0.40656	OR4F5
ENSG00000237683	1	134901	139379	4	2	20810	-0.75666	0.77537	AL627309.1
ENSG00000269831	1	738532	739137	3	2	19187	-0.81206	0.79162	AL669831.1
ENSG00000269308	1	818043	819983	1	1	29549	-0.39858	0.6549	AL645608.2
ENSG00000187634	1	860260	879955	100	20	26914	1.4524	0.07319	SAMD11
ENSG00000268179	1	861264	866445	42	11	27274	1.2778	0.10066	AL645608.1
ENSG00000188976	1	879584	894689	47	6	30549	1.6666	0.047795	NOC2L
ENSG00000187961	1	895967	901095	39	8	25978	1.9732	0.024238	KLHL17
ENSG00000187583	1	901877	911245	55	20	26361	2.4445	0.0072529	PLEKHN1
ENSG00000187642	1	910579	917497	26	6	21244	0.8862	0.18775	C1orf170
ENSG00000188290	1	934342	935552	4	2	31844	1.2955	0.097582	HES4
ENSG00000187608	1	948803	949920	7	2	17969	0.99113	0.16081	ISG15
ENSG00000188157	1	955503	991496	165	20	19755	1.1901	0.117	AGRN
ENSG00000237330	1	1006346	1009687	8	3	25695	0.87881	0.18975	RNF223
ENSG00000131591	1	1017198	1051741	127	11	27112	-0.20652	0.58181	C1orf159
ENSG00000162571	1	1109264	1133315	133	14	30577	3.688	0.00011301	TTLL10
ENSG00000186891	1	1138888	1142071	8	1	28041	-0.77351	0.78039	TNFRSF18
ENSG00000186827	1	1146706	1149518	8	3	28150	3.2793	0.00052028	TNFRSF4
ENSG00000078808	1	1152288	1167411	101	5	29177	3.7921	7.4684e-05	SDF4
ENSG00000176022	1	1167629	1170421	3	2	13586	4.0866	2.1889e-05	B3GALT6
ENSG00000184163	1	1177826	1182102	13	3	21747	3.7196	9.9766e-05	FAM132A
ENSG00000160087	1	1189289	1209265	44	9	14191	1.9182	0.02754	UBE2J2
ENSG00000162572	1	1215816	1227409	71	26	26267	3.5884	0.00016638	SCNN1D
ENSG00000131584	1	1227756	1244989	76	14	23881	2.3674	0.0089571	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	16134	1.0091	0.15645	PUSL1
ENSG00000127054	1	1246965	1260071	20	6	24799	-0.25472	0.60053	CPSF3L
ENSG00000224051	1	1260136	1264277	11	2	29213	0.97433	0.16495	GLTPD1
ENSG00000169962	1	1266694	1270686	12	4	25882	0.20383	0.41924	TAS1R3
ENSG00000107404	1	1270656	1284730	35	7	25409	0.39177	0.34761	DVL1
ENSG00000162576	1	1288069	1297157	28	4	25100	0.028149	0.48877	MXRA8
ENSG00000175756	1	1309110	1310875	6	3	13949	-0.29734	0.6169	AURKAIP1
ENSG00000221978	1	1321091	1334708	27	8	25074	0.56566	0.28581	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	30521	0.12244	0.45127	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	19	7	21079	0.70326	0.24095	MRPL20
ENSG00000235098	1	1353800	1357149	7	2	31088	-0.30008	0.61794	ANKRD65
ENSG00000205116	1	1361508	1363167	9	3	21639	0.42705	0.33467	TMEM88B
ENSG00000179403	1	1370241	1378262	20	5	28082	-0.60183	0.72636	VWA1
ENSG00000215915	1	1385069	1405538	114	14	26291	2.9691	0.0014933	ATAD3C
ENSG00000160072	1	1407143	1433228	94	14	23858	2.3437	0.0095458	ATAD3B
ENSG00000197785	1	1447531	1470067	106	14	26565	2.1123	0.017332	ATAD3A
ENSG00000205090	1	1470554	1475833	12	4	26103	1.4356	0.07556	TMEM240
ENSG00000160075	1	1477053	1510249	95	8	29971	1.3642	0.086249	SSU72
ENSG00000215014	1	1510355	1511373	5	1	31796	0.23745	0.40616	AL645728.1
ENSG00000228594	1	1533392	1535476	5	3	31270	-0.90911	0.81835	C1orf233
ENSG00000197530	1	1550795	1565990	38	7	30962	0.033266	0.48673	MIB2
ENSG00000189409	1	1567474	1570639	2	1	29549	-2.2737	0.98851	MMP23B
ENSG00000248333	1	1570603	1590473	46	9	27810	0.41061	0.34068	CDK11B
ENSG00000189339	1	1592939	1624167	102	20	26449	0.15023	0.44029	SLC35E2B
ENSG00000008128	1	1634169	1655766	144	9	28700	-0.4391	0.66971	CDK11A
ENSG00000215790	1	1656277	1677431	108	13	28192	0.60434	0.27281	SLC35E2
ENSG00000008130	1	1682671	1711896	79	11	28607	0.81091	0.20871	NADK
ENSG00000078369	1	1716729	1822495	171	18	27046	0.96203	0.16802	GNB1
ENSG00000169885	1	1846266	1848735	11	3	30249	-0.34108	0.63348	CALML6
ENSG00000178821	1	1849029	1850712	7	3	28147	-0.94568	0.82784	TMEM52
ENSG00000142609	1	1853396	1935276	458	35	29702	-0.80746	0.7903	C1orf222
ENSG00000187730	1	1950780	1962192	31	7	29399	0.84784	0.19826	GABRD
ENSG00000067606	1	1981909	2116834	483	32	30220	0.38159	0.35138	PRKCZ
ENSG00000162585	1	2115903	2144159	45	8	29319	0.53842	0.29514	C1orf86
ENSG00000269554	1	2121237	2123179	1	1	18380	-0.46323	0.6784	AL590822.2
ENSG00000203301	1	2143360	2145620	7	4	31072	0.92182	0.17831	AL590822.1
ENSG00000157933	1	2160134	2241558	245	41	28629	1.2427	0.10699	SKI
ENSG00000116151	1	2252692	2323146	308	30	29790	0.62774	0.26509	MORN1
ENSG00000269753	1	2258581	2259042	2	1	29549	1.2195	0.11133	AL589739.1
ENSG00000157916	1	2323267	2336883	38	10	28710	-0.4371	0.66898	RER1
ENSG00000157911	1	2336236	2345236	26	8	27311	-0.15503	0.5616	PEX10
ENSG00000149527	1	2357419	2436969	299	36	29080	2.9139	0.0017845	PLCH2
ENSG00000157881	1	2439972	2458039	55	9	30093	0.10123	0.45969	PANK4
ENSG00000197921	1	2460184	2461684	1	1	1989	1.7356	0.04132	HES5
ENSG00000157873	1	2487078	2496821	19	3	29785	-0.10786	0.54295	TNFRSF14
ENSG00000157870	1	2517930	2522908	7	2	31357	0.35349	0.36186	FAM213B
ENSG00000142606	1	2522078	2564481	137	5	26639	0.99612	0.1596	MMEL1
ENSG00000215912	1	2567415	2718286	255	19	23622	0.11921	0.45256	TTC34
ENSG00000169717	1	2938046	2939465	4	2	23883	1.0728	0.14168	ACTRT2
ENSG00000142611	1	2985732	3355185	1567	144	27492	0.60454	0.27274	PRDM16
ENSG00000130762	1	3370990	3397677	80	8	28696	0.77037	0.22054	ARHGEF16
ENSG00000162591	1	3406484	3528059	535	72	27889	0.073273	0.47079	MEGF6
ENSG00000158109	1	3541566	3546691	10	3	27928	1.416	0.078389	TPRG1L
ENSG00000116213	1	3547331	3569325	44	9	21710	1.1464	0.12582	WRAP73
ENSG00000078900	1	3569084	3652765	330	51	29183	1.5994	0.054866	TP73
ENSG00000162592	1	3668962	3688209	77	15	21842	0.36845	0.35627	CCDC27
ENSG00000235169	1	3689352	3692546	14	5	20596	-0.1408	0.55599	SMIM1
ENSG00000130764	1	3696784	3713068	75	13	25917	0.46293	0.32171	LRRC47
ENSG00000116198	1	3728645	3773778	299	15	27694	0.51361	0.30376	CEP104
ENSG00000169598	1	3773845	3801993	163	20	27252	-0.99044	0.83902	DFFB
ENSG00000198912	1	3805689	3816857	50	9	24801	0.88461	0.18818	C1orf174
ENSG00000196581	1	4714792	4852594	657	77	27016	1.4431	0.074492	AJAP1
ENSG00000131697	1	5922871	6052533	336	14	28450	2.3885	0.0084586	NPHP4
ENSG00000069424	1	6051526	6161253	281	36	27462	1.0045	0.15756	KCNAB2
ENSG00000268332	1	6100630	6101399	2	1	30676	-0.1151	0.54582	AL035406.1
ENSG00000116254	1	6161853	6240183	304	28	27982	-0.40527	0.65736	CHD5
ENSG00000116251	1	6241329	6269449	67	12	28549	-0.37232	0.64517	RPL22
ENSG00000158286	1	6265535	6281359	34	4	28072	0.269	0.39396	RNF207
ENSG00000116237	1	6281253	6296032	29	4	28879	0.28803	0.38666	ICMT
ENSG00000173673	1	6304252	6305638	4	1	31784	0.96107	0.16826	HES3
ENSG00000158292	1	6307406	6321035	39	3	29642	0.358	0.36017	GPR153
ENSG00000097021	1	6324329	6454451	425	21	26153	0.20941	0.41706	ACOT7
ENSG00000069812	1	6472478	6484730	36	6	25958	-1.2977	0.90281	HES2
ENSG00000187017	1	6484848	6521430	84	10	23324	0.80606	0.2101	ESPN
ENSG00000215788	1	6521211	6526255	11	4	12848	1.0246	0.15279	TNFRSF25
ENSG00000171680	1	6526152	6580121	137	22	25954	0.097565	0.46114	PLEKHG5
ENSG00000162408	1	6581407	6614595	137	5	30138	0.45221	0.32556	NOL9
ENSG00000173662	1	6615241	6639817	81	15	30527	0.43726	0.33096	TAS1R1
ENSG00000204859	1	6640061	6649340	8	2	31557	-0.11064	0.54405	ZBTB48
ENSG00000162413	1	6650784	6674667	37	7	28333	-0.465	0.67903	KLHL21
ENSG00000116273	1	6673745	6684093	20	4	32015	-0.023099	0.50921	PHF13
ENSG00000041988	1	6684926	6695646	26	4	29371	0.31732	0.3755	THAP3
ENSG00000007923	1	6694228	6761984	135	13	26489	-0.62662	0.73455	DNAJC11
ENSG00000171735	1	6845384	7829766	2715	195	29033	1.2409	0.10732	CAMTA1
ENSG00000049245	1	7831329	7841492	33	8	24892	1.0185	0.15423	VAMP3
ENSG00000049246	1	7844380	7905237	209	23	25956	1.1604	0.12294	PER3
ENSG00000049247	1	7903143	7913572	33	9	26473	0.97701	0.16428	UTS2
ENSG00000049249	1	7979907	8000926	42	5	30648	-0.28737	0.61309	TNFRSF9
ENSG00000116288	1	8014351	8045565	51	8	28958	-0.40327	0.65662	PARK7
ENSG00000116285	1	8064464	8086368	29	5	26787	0.025988	0.48963	ERRFI1
ENSG00000162426	1	8377886	8404227	95	16	31905	3.1229	0.00089537	SLC45A1
ENSG00000142599	1	8412457	8877702	635	18	31227	1.8432	0.03265	RERE
ENSG00000074800	1	8921061	8939308	32	6	23851	-0.51737	0.69755	ENO1
ENSG00000131686	1	9005926	9035151	113	23	30619	1.565	0.058792	CA6
ENSG00000197241	1	9063359	9086404	76	18	31402	-0.1375	0.55468	SLC2A7
ENSG00000142583	1	9095166	9148537	257	25	29914	-0.35441	0.63848	SLC2A5
ENSG00000180758	1	9160364	9189229	84	11	29761	-0.48758	0.68708	GPR157
ENSG00000049239	1	9294834	9331396	91	13	30657	-0.15815	0.56283	H6PD
ENSG00000171621	1	9352939	9429591	291	40	28254	-1.6191	0.94729	SPSB1
ENSG00000171612	1	9599541	9645237	88	11	30040	-1.4055	0.92007	SLC25A33
ENSG00000188807	1	9648932	9674935	41	6	29808	-0.88047	0.8107	TMEM201
ENSG00000171608	1	9711790	9789172	216	33	29944	0.23613	0.40667	PIK3CD
