ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000120948	TARDBP	1	11072414	11085796	1	protein_coding	23435	TARDBP	0.980707836590808	-0.6803251	0	0	1	7.9919e-06	0.0484750555443345	eQTLGen_trans_eQTLs	-	No	NA	2.321e-06	rs1143702	1
ENSG00000134668	SPOCD1	1	32256023	32281652	-1	protein_coding	90853	SPOCD1	8.79900241092214e-06	0.267640875	0	0	2	1.1141e-10	0	eQTLGen_trans_eQTLs	+	No	NA	1.14e-10	rs10883756;rs7917772	14
ENSG00000127129	EDN2	1	41944446	41950344	-1	protein_coding	1907	EDN2	0.0110864412384733	0.945715005	0	0	0	NA	NA	NA	NA	Yes	Left_Ventricle	3.064e-08	rs4660761	1
ENSG00000171960	PPIH	1	43124096	43142429	1	protein_coding	10465	PPIH	0.00475502689084187	-0.262745745	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	0.0001154	rs1143702	1
ENSG00000177868	CCDC23	1	43272723	43282954	-1	protein_coding	374969	CCDC23	0.213154887650545	NA	0	0	2	8.5074e-06	0.024027446300716	eQTLGen_cis_eQTLs	-	Yes	Mesenchymal_Stem_Cell	1.754e-06	rs1143702;rs4660761	1
ENSG00000164010	ERMAP	1	43282795	43310660	1	protein_coding	114625	ERMAP	5.8055284133168e-05	0.252683207	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	1.754e-06	rs4660761	1
ENSG00000164011	ZNF691	1	43312280	43318148	1	protein_coding	51058	ZNF691	0.417758649657401	-0.577744535	0	0	1	1.59176e-05	0.00040309	GTEx/v8/Heart_Left_Ventricle	-	Yes	Mesenchymal_Stem_Cell	1.754e-06	rs4660761	1
ENSG00000117395	EBNA1BP2	1	43629846	43736607	-1	protein_coding	10969	EBNA1BP2	2.3767005478956e-06	NA	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	3.064e-08	rs4660761	1
ENSG00000243710	WDR65	1	43637820	43720029	1	protein_coding	149465	WDR65	8.58277032784158e-09	0.128913991	0	0	36	2.71224e-06	2.33278e-118	GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Nerve_Tibial	+	No	NA	5.081e-09	rs1143702;rs4660761	1
ENSG00000179178	TMEM125	1	43735665	43739673	1	protein_coding	128218	TMEM125	0.000428556113626271	0.191656511	0	0	0	NA	NA	NA	NA	Yes	Mesenchymal_Stem_Cell	3.064e-08	rs4660761	1
ENSG00000253313	C1orf210	1	43747554	43751288	-1	protein_coding	149466	C1orf210	0.00121963583096512	0.676593983	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Mesenchymal_Stem_Cell	3.064e-08	rs1143702:rs4660761	1
ENSG00000066056	TIE1	1	43766664	43788779	1	protein_coding	7075	TIE1	8.71416663313257e-12	-0.019633805	0	0	9	1.83594e-06	0.000251972	GTEx/v8/Colon_Sigmoid:GTEx/v8/Prostate:GTEx/v8/Cells_Cultured_fibroblasts	+	No	NA	3.314e-08	rs1143702	1
ENSG00000066322	ELOVL1	1	43829068	43833696	-1	protein_coding	64834	ELOVL1	0.223414530247304	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	2.321e-06	rs1143702	1
ENSG00000159479	MED8	1	43849588	43855479	-1	protein_coding	112950	MED8	8.1582621367423e-06	0.403723391	0	0	66	7.4436e-14	0	EyeGEx:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:CMC_SVA_cis:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Thyroid	+	Yes	Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell	1.447e-08	rs1143702;rs1143702:rs4660761	1
ENSG00000198198	SZT2	1	43855553	43918321	1	protein_coding	23334	SZT2	1.51746679777732e-07	0.623916217	0	0	37	0.000129046	0.0151481	GTEx/v8/Cells_Cultured_fibroblasts	+	Yes	Adult_Cortex:Fetal_Cortex:IMR90:Mesenchymal_Stem_Cell	3.064e-08	rs1143702;rs1143702:rs4660761	1
ENSG00000178922	HYI	1	43916824	43919660	-1	protein_coding	81888	HYI	3.15819250162145e-08	-0.187049626	0	0	64	4.80461e-06	0.00200228517281085	EyeGEx:eQTLcatalogue/BLUEPRINT_ge_neutrophil:PsychENCODE_eQTLs	+	Yes	IMR90:Mesenchymal_Stem_Cell	3.064e-08	rs1143702;rs1143702:rs4660761	1
