region2	reg_region	type	tissue/cell	genes
1:71520001-71560000	1:71545925-71547317	prom	E053	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E054	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E067	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E068	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E069	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E070	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E071	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E072	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E073	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E074	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E081	ENSG00000132485
1:71520001-71560000	1:71545925-71547317	prom	E082	ENSG00000132485
1:73080001-73120000	1:73088996-73089381	prom	E067	NA
1:73080001-73120000	1:73088996-73089381	prom	E068	NA
1:73080001-73120000	1:73088996-73089381	prom	E069	NA
1:73080001-73120000	1:73088996-73089381	prom	E071	NA
1:73080001-73120000	1:73088996-73089381	prom	E073	NA
1:73080001-73120000	1:73088996-73089381	prom	E074	NA
6:24350000-24360000	6:24357485-24358712	prom	E067	ENSG00000146049:ENSG00000146038
6:24350000-24360000	6:24357485-24358712	prom	E068	ENSG00000146049:ENSG00000146038
6:24350000-24360000	6:24357485-24358712	prom	E069	ENSG00000146049:ENSG00000146038
6:24350000-24360000	6:24357485-24358712	prom	E071	ENSG00000146049:ENSG00000146038
6:24350000-24360000	6:24357485-24358712	prom	E072	ENSG00000146049:ENSG00000146038
6:24350000-24360000	6:24357485-24358712	prom	E073	ENSG00000146049:ENSG00000146038
6:24350000-24360000	6:24359844-24360803	prom	E053	NA
6:24350000-24360000	6:24359844-24360803	prom	E054	NA
6:24350000-24360000	6:24359844-24360803	prom	E067	NA
6:24350000-24360000	6:24359844-24360803	prom	E068	NA
6:24350000-24360000	6:24359844-24360803	prom	E069	NA
6:24350000-24360000	6:24359844-24360803	prom	E070	NA
6:24350000-24360000	6:24359844-24360803	prom	E072	NA
6:24350000-24360000	6:24359844-24360803	prom	E073	NA
6:24350000-24360000	6:24359844-24360803	prom	E074	NA
6:24350000-24360000	6:24359844-24360803	prom	E081	NA
6:24350000-24360000	6:24359844-24360803	prom	E082	NA
6:24720000-24730000	6:24719283-24720250	prom	E053	NA
6:24720000-24730000	6:24719283-24720250	prom	E054	NA
6:24720000-24730000	6:24719283-24720250	prom	E067	NA
6:24720000-24730000	6:24719283-24720250	prom	E068	NA
6:24720000-24730000	6:24719283-24720250	prom	E069	NA
6:24720000-24730000	6:24719283-24720250	prom	E070	NA
6:24720000-24730000	6:24719283-24720250	prom	E071	NA
6:24720000-24730000	6:24719283-24720250	prom	E072	NA
6:24720000-24730000	6:24719283-24720250	prom	E073	NA
6:24720000-24730000	6:24719283-24720250	prom	E074	NA
6:24720000-24730000	6:24719283-24720250	prom	E081	NA
6:24720000-24730000	6:24719283-24720250	prom	E082	NA
6:24720000-24730000	6:24720262-24722441	prom	E053	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E054	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E067	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E068	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E069	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E070	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E071	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E072	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E073	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E074	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E081	ENSG00000112308
6:24720000-24730000	6:24720262-24722441	prom	E082	ENSG00000112308
6:24770000-24780000	6:24774364-24774444	prom	E070	NA
6:24770000-24780000	6:24774364-24774444	prom	E071	NA
6:24770000-24780000	6:24774364-24774444	prom	E082	NA
6:24770000-24780000	6:24774608-24776328	prom	E053	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E054	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E067	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E068	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E069	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E070	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E071	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E072	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E073	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E074	ENSG00000112312
6:24770000-24780000	6:24774608-24776328	prom	E082	ENSG00000112312
6:24770000-24780000	6:24777535-24777617	prom	E068	NA
6:25240001-25280000	6:25278622-25281726	prom	E053	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E054	ENSG00000079691
6:25240001-25280000	6:25278622-25281726	prom	E067	ENSG00000079691
