ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000115392	FANCL	2	58386378	58468507	-1	protein_coding	55120	FANCL	2.09960326026736e-08	NA	0	0	74	9.55982e-05	0.00809841007859548	PsychENCODE_eQTLs	+	No	NA	4.396e-08	rs1922781	1
ENSG00000119866	BCL11A	2	60678302	60780702	-1	protein_coding	53335	BCL11A	0.828999684744843	-2.033900679	0	0	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	1.121e-07	rs1922781	1
ENSG00000143995	MEIS1	2	66660584	66801001	1	protein_coding	4211	MEIS1	0.99088519686075	-1.500874619	11	17.6	2	0.000388388	0.0268201859436385	PsychENCODE_eQTLs	-	No	NA	3.141e-22	rs62144053;rs11693221;rs6735071	2
ENSG00000185565	LSAMP	3	115521235	117716095	-1	protein_coding	4045	LSAMP	0.946283746572624	NA	99	18.73	0	NA	NA	NA	NA	No	NA	2.13e-08	rs1456193	4
ENSG00000171611	PTCRA	6	42883727	42893573	1	protein_coding	171558	PTCRA	0.0113951526484819	0.082986607	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	5.449e-08	rs6938026	6
ENSG00000124713	GNMT	6	42928496	42931618	1	protein_coding	27232	GNMT	0.667933555724909	-0.20422475	0	0	3	3.14892e-06	0.000383055308893664	PsychENCODE_eQTLs	-	No	NA	1.244e-08	rs6938026	6
ENSG00000124733	MEA1	6	42979832	42981706	-1	protein_coding	4201	MEA1	0.0434012333734021	-0.449729767	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	5.449e-08	rs6938026	6
ENSG00000124702	KLHDC3	6	42981951	42989036	1	protein_coding	116138	KLHDC3	0.993829271351028	-0.452378528	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	5.449e-08	rs6938026	6
ENSG00000124541	RRP36	6	42989383	43001894	1	protein_coding	88745	RRP36	9.22385848172131e-11	0.015112654	0	0	3	1.0159e-05	0.00110696505854496	PsychENCODE_eQTLs	-	Yes	Fetal_Cortex	1.244e-08	rs6938026	6
ENSG00000112658	SRF	6	43139037	43149243	1	protein_coding	6722	SRF	0.970031287954396	-0.362002247	4	18.73	0	NA	NA	NA	NA	No	NA	1.57e-06	rs6938026	6
ENSG00000112659	CUL9	6	43149913	43192325	1	protein_coding	23113	CUL9	0.967475855018408	-0.195719526	9	18.73	8	7.74608e-20	1.67348e-14	PsychENCODE_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	-	Yes	Fetal_Cortex	2.718e-09	rs6938026	6
ENSG00000112667	DNPH1	6	43193367	43197222	-1	protein_coding	10591	DNPH1	0.000716569937593186	NA	4	15.69	3	2.97048e-05	4.9637e-09	PsychENCODE_eQTLs:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	No	NA	2.718e-09	rs6938026	6
ENSG00000171467	ZNF318	6	43274872	43337216	-1	protein_coding	24149	ZNF318	0.0537829671346281	-0.194710998	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	5.449e-08	rs6938026	6
ENSG00000204052	LRRC73	6	43474707	43478424	-1	protein_coding	221424	LRRC73	0.635116132508035	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	5.449e-08	rs6938026	6
