GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
1	1:43760040-43760766	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	rs7520981;rs7549876	NA	0
1	1:43760040-43760766	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	rs7520981;rs7549876	NA	0
1	1:43760040-43760766	1:43829000-43831000	0	EP	PsychENCODE	EP_links_oneway	intra	rs7520981;rs7549876	NA	0
1	1:43761058-43761735	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	chr1:43761505;rs4660253	NA	0
1	1:43761058-43761735	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	chr1:43761505;rs4660253	NA	0
1	1:43761058-43761735	1:43829000-43831000	0	EP	PsychENCODE	EP_links_oneway	intra	chr1:43761505;rs4660253	NA	0
1	1:43764782-43765302	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1209384	NA	0
1	1:43764782-43765302	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1209384	NA	0
1	1:43764782-43765302	1:43829000-43831000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1209384	NA	0
1	1:43766123-43766780	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	rs3768046	NA	0
1	1:43766123-43766780	1:43819000-43821000	0	EP	PsychENCODE	EP_links_oneway	intra	rs3768046	NA	0
1	1:43766123-43766780	1:43829000-43831000	0	EP	PsychENCODE	EP_links_oneway	intra	rs3768046	NA	0
1	1:44012881-44013030	1:44039000-44041000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1889588	NA	0
1	1:44012881-44013030	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1889588	NA	0
1	1:44013161-44013584	1:44039000-44041000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2782641	NA	0
1	1:44013161-44013584	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2782641	NA	0
1	1:44013914-44014587	1:44039000-44041000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2842188;rs2819333	NA	0
1	1:44013914-44014587	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2842188;rs2819333	NA	0
1	1:44018405-44018961	1:44039000-44041000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2819339	NA	0
1	1:44018405-44018961	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2819339	NA	0
1	1:44020140-44020424	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2842183	NA	0
1	1:44020140-44020424	1:44599000-44601000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2842183	NA	0
1	1:44023317-44024551	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2842175;rs11580074	NA	0
1	1:44023317-44024551	1:44599000-44601000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2842175;rs11580074	NA	0
1	1:44029256-44029480	1:44419000-44421000	0	EP	PsychENCODE	EP_links_oneway	intra	rs11210871	NA	0
1	1:44029256-44029480	1:44599000-44601000	0	EP	PsychENCODE	EP_links_oneway	intra	rs11210871	NA	0
1	1:44031017-44031883	1:43989000-43991000	0	EP	PsychENCODE	EP_links_oneway	intra	rs10890255;rs2478978;rs11586016	ENSG00000142949	1
1	1:44031017-44031883	1:43999000-44001000	0	EP	PsychENCODE	EP_links_oneway	intra	rs10890255;rs2478978;rs11586016	NA	0
1	1:44034837-44035352	1:43989000-43991000	0	EP	PsychENCODE	EP_links_oneway	intra	rs4660736;rs2842186	ENSG00000142949	1
1	1:44034837-44035352	1:43999000-44001000	0	EP	PsychENCODE	EP_links_oneway	intra	rs4660736;rs2842186	NA	0
1	1:44037336-44037827	1:43989000-43991000	0	EP	PsychENCODE	EP_links_oneway	intra	rs3001723	ENSG00000142949	1
1	1:44037336-44037827	1:43999000-44001000	0	EP	PsychENCODE	EP_links_oneway	intra	rs3001723	NA	0
1	1:43760000-43770000	1:43810000-43820000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs7520981;rs7549876;chr1:43761505;rs4660253;rs3120047;rs3120124;rs1209384;rs3768046;rs6690243;rs4660729;rs1556580	NA	0
1	1:43760000-43770000	1:43820000-43830000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs7520981;rs7549876;chr1:43761505;rs4660253;rs3120047;rs3120124;rs1209384;rs3768046;rs6690243;rs4660729;rs1556580	ENSG00000117399	1
1	1:43760000-43770000	1:43830000-43840000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs7520981;rs7549876;chr1:43761505;rs4660253;rs3120047;rs3120124;rs1209384;rs3768046;rs6690243;rs4660729;rs1556580	ENSG00000066322	1
1	1:43820000-43830000	1:43470000-43480000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs72669002;rs1760669;rs45508694;rs2069378;rs839763	NA	0
1	1:43850000-43860000	1:43680000-43690000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs11172;rs839752;rs839754;rs839755;rs1004291;rs999288	NA	0
1	1:43870000-43880000	1:43680000-43690000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs17573239;rs839768;rs839769;rs839770;rs839771;rs839772;rs839773;rs3001721;rs2152112;rs9793186;rs9793527;rs35533173	NA	0
1	1:43880000-43890000	1:43680000-43690000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs72671121;rs2782638;rs55935510;rs55663821;rs2842177;rs2782642;rs2782643;rs2782644;rs2782645	NA	0
1	1:43890000-43900000	1:44080000-44090000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2782646;rs2842179	NA	0
1	1:43900000-43910000	1:44040000-44050000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2039531;rs2782647;rs2842180;rs2782648;rs2842184;rs2782649;rs1572272;rs2027130;rs2255632	NA	0
1	1:43930000-43940000	1:44160000-44170000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2842198;rs2105029;rs7413861	NA	0
1	1:43940000-43950000	1:44820000-44830000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2105028;rs4660733;rs71771246;rs10789433;rs10732843;rs11210850;rs2992038;rs2992037	ENSG00000117419	1
1	1:43950000-43960000	1:44820000-44830000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs35048227;rs2842173;rs2842172	ENSG00000117419	1
1	1:43960000-43970000	1:44390000-44400000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2494996;rs867605	ENSG00000117407	1
1	1:43960000-43970000	1:44700000-44710000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2494996;rs867605	NA	0
1	1:43970000-43980000	1:44390000-44400000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2842192;rs34898652;rs882464;rs2819341;rs10789434;rs368334365	ENSG00000117407	1
1	1:43980000-43990000	1:44470000-44480000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs11210860;rs2152113;rs35947542;rs11577403	NA	0
1	1:44010000-44020000	1:44040000-44050000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs951740;rs1889588;rs2782641;rs2842188;rs2819333;rs2819334;rs2819335;rs2842187;rs2819336;rs11580258;rs2819339;rs2842185	NA	0
1	1:44010000-44020000	1:44420000-44430000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs951740;rs1889588;rs2782641;rs2842188;rs2819333;rs2819334;rs2819335;rs2842187;rs2819336;rs11580258;rs2819339;rs2842185	NA	0
1	1:44020000-44030000	1:44420000-44430000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2842183;rs2842181;rs10890253;rs2842178;rs2494995;rs2842176;rs371162073;rs2842175;rs11580074;rs34985615;rs11210869;rs61769611;rs2842194;rs11210871	NA	0
1	1:44020000-44030000	1:44600000-44610000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs2842183;rs2842181;rs10890253;rs2842178;rs2494995;rs2842176;rs371162073;rs2842175;rs11580074;rs34985615;rs11210869;rs61769611;rs2842194;rs11210871	NA	0
1	1:44030000-44040000	1:43990000-44000000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs10890255;rs2478978;rs11586016;rs12089622;rs4660736;rs2842186;rs943513;rs1887402;rs3001723;rs2819340;rs2842171	ENSG00000142949	1
1	1:44030000-44040000	1:44000000-44010000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs10890255;rs2478978;rs11586016;rs12089622;rs4660736;rs2842186;rs943513;rs1887402;rs3001723;rs2819340;rs2842171	NA	0
1	1:44040000-44050000	1:43120000-43130000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs10789436;rs650729;rs663618;rs552638;rs2004899;rs1808730;rs3838475;rs3791134;rs3791136	ENSG00000171960	1
1	1:44040000-44050000	1:44390000-44400000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs10789436;rs650729;rs663618;rs552638;rs2004899;rs1808730;rs3838475;rs3791134;rs3791136	ENSG00000117407	1
1	1:44060000-44070000	1:44700000-44710000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs583040;rs674725;rs673253;rs673242;rs56175694;rs596522;rs492929	NA	0
1	1:44070000-44080000	1:43470000-43480000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs17371903;rs631248;rs539096;rs519669;rs11210887;rs549845;rs499257;rs3791151;rs603542	NA	0
1	1:44080000-44090000	1:44500000-44510000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs55684236;rs588657;rs34004799;rs513373;rs516790;rs516921;rs517849;rs667676;rs653953;rs571862;rs641365;rs641351;rs639929;rs1143701;rs568639;rs1143702;rs673485;rs643445;rs559575	NA	0
1	1:44100000-44110000	1:44040000-44050000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs11210892;rs501861;rs35393217;rs664728;rs664336;rs530201;rs35290231;rs2970606;rs564318;rs11210897;rs11210898;rs11210899;rs12080079;rs36016466;rs61354663;rs486883;rs649504;rs574736;rs636547;rs581005;rs2367724;rs6429630;rs694197;rs483679;rs594293;rs607296m;rs541550	NA	0
1	1:44110000-44120000	1:43120000-43130000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs609171;rs620851;rs530531;rs623965;rs55666439;rs61768370;rs72883034;rs61259097;rs147154109;rs6687921;rs6429631;rs617521;rs513862;rs34929797;rs519357;rs631758;rs517191;rs660899;rs61768371	ENSG00000171960	1
1	1:44110000-44120000	1:44470000-44480000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs609171;rs620851;rs530531;rs623965;rs55666439;rs61768370;rs72883034;rs61259097;rs147154109;rs6687921;rs6429631;rs617521;rs513862;rs34929797;rs519357;rs631758;rs517191;rs660899;rs61768371	NA	0
1	1:44130000-44140000	1:43470000-43480000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs489319;rs607062;rs618678;rs3791033;rs586339	NA	0
1	1:44160000-44170000	1:43930000-43940000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs3838464	NA	0
1	1:44180000-44190000	1:44390000-44400000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs112767823;rs17531412;rs6429636;rs112361411;rs11420276;rs10890273;rs11810109;rs12410155;rs12410444;rs58097850	ENSG00000117407	1
