GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
3	20:21100000-21110000	20:20840000-20850000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21470000-21480000	20:20840000-20850000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs150140610	NA	0
3	20:22100000-22110000	20:21860000-21870000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs192405235	NA	0
1	8:10580000-10590000	8:9670000-9680000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs4841432	NA	0
3	20:21440000-21450000	20:20820000-20830000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs17737278;rs2424372;rs804387;rs804388;rs2424373;rs810781	NA	0
3	20:22100000-22110000	20:21860000-21870000	0	HiC	PsychENCODE	Promoter_anchored_loops	intra	rs192405235	NA	0
3	20:20180000-20190000	20:20340000-20350000	4.267854e-18	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs180963572	ENSG00000173404	0
3	20:20640000-20650000	20:21100000-21110000	3.80515e-12	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs547995362;rs145042689;rs568151952	NA	0
3	20:21100000-21110000	20:21120000-21130000	3.317771e-20	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21160000-21170000	1.052455e-32	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:21280000-21290000	2.55061e-17	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	ENSG00000088930	0
3	20:21100000-21110000	20:22880000-22890000	1.902275e-21	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:20640000-20650000	20:20340000-20350000	1.819367e-16	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs547995362;rs145042689;rs568151952	ENSG00000173404	0
3	20:21100000-21110000	20:19800000-19810000	4.804768e-12	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
3	20:21100000-21110000	20:20340000-20350000	9.911875e-17	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	ENSG00000173404	0
3	20:21100000-21110000	20:20390000-20400000	4.633499e-17	HiC	Giusti-Rodriguez_et_al_2019	Adult_Cortex	intra	rs6082329;rs6113140;rs6047261;rs1007226;rs6035785;rs5840900;rs6082331	NA	0
