GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs4916068	1	 60996971	rs4523542	2021-03-30	33692830	Indencleef K	2021-02-22	Front Genet	www.ncbi.nlm.nih.gov/pubmed/33692830	The Intersection of the Genetic Architectures of Orofacial Clefts and Normal Facial Variation.	Facial morphology traits (59 NSCL/P endophenotypic segments)	8,246 European ancestry individuals	NA	1p32.1	NR	LINC01748			ENSG00000226476	NA	NA	rs4523542-?	rs4523542	0	4523542	intron_variant	0	NR	2E-8	7.69897000433602	(Quadrant II (Nose), Segment 47)	0.029331395	NR unit decrease	NR [7417619] (imputed)	N
1	rs4916068	1	 60997570	rs4916068	2019-06-26	29459680	Claes P	2018-02-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29459680	Genome-wide mapping of global-to-local genetic effects on human facial shape.	Facial morphology traits (63 three-dimensional facial segments)	2,329 European ancestry individuals	1,719 European ancestry individuals	1p32.1	Intergenic	LINC01748			ENSG00000226476	NA	NA	rs4916068-?	rs4916068	0	4916068	intron_variant	0	NR	5E-10	9.30102999566398	(facial module 41)	NA		Illumina [9478608] (imputed)	N
1	rs2126180	1	 61059259	rs2989476	2012-01-24	21254220	Jiang Y	2011-02-01	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21254220	Propensity score-based nonparametric test revealing genetic variants underlying bipolar disorder.	Bipolar disorder	1,868 European ancestry cases, 2,938 European ancestry controls	NA	1p32.1	NR	LINC01748			ENSG00000226476	NA	NA	rs2989476-?	rs2989476	0	2989476	intron_variant	0	NR	2E-6	5.69897000433602	(dominant)	NA		Affymetrix [NR]	N
1	rs2126180	1	 61059259	rs2989476	2011-07-27	21738484	Smith EN	2011-06-30	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21738484	Genome-wide association of bipolar disorder suggests an enrichment of replicable associations in regions near genes.	Bipolar disorder	1,190 European and unknown ancestry cases, 401 European and unknown ancestry controls	16,179 individuals	1p32.1	NFIA	LINC01748			ENSG00000226476	NA	NA	rs2989476-C	rs2989476	0	2989476	intron_variant	0	NR	3E-6	5.52287874528034		1.16	[NR]	Affymetrix [703019]	N
1	rs2126180	1	 61059259	rs2989476	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (MTAG)	1,311,438 European ancestry individuals	NA	1p32.1	Intergenic	LINC01748			ENSG00000226476	NA	NA	rs2989476-C	rs2989476	0	2989476	intron_variant	0	0.4193	9E-9	8.04575749056068	(MTAG)	0.0076	[0.0051-0.0101] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
1	rs2126180	1	 61059259	rs2989476	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	1p32.1		LINC01748			ENSG00000226476	NA	NA	rs2989476-C	rs2989476	0	2989476	intron_variant	0	0.4193	4E-8	7.39794000867204		0.0078	[0.0051-0.0105] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
1	rs2126180	1	 61060280	rs7555117	2017-07-11	28441456	Lee MK	2017-04-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28441456	Genome-wide association study of facial morphology reveals novel associations with FREM1 and PARK2.	Facial morphology (factor 19)	2,187 European ancestry individuals	NA	1p32.1	NR	LINC01748			ENSG00000226476	NA	NA	rs7555117-C	rs7555117	0	7555117	intron_variant	0	0.4856	2E-6	5.69897000433602		0.1443	[0.086-0.203] unit decrease	Illumina [10677593] (imputed)	N
1	rs2126180	1	 61085927	rs579728	2020-08-03	32352494	Han X	2020-04-30	JAMA Ophthalmol	www.ncbi.nlm.nih.gov/pubmed/32352494	Association of Myopia and Intraocular Pressure With Retinal Detachment in European Descent Participants of the UK Biobank Cohort: A Mendelian Randomization Study.	Spherical equivalent	95,827 European ancestry individuals	NA	1p32.1	NR	LINC01748			ENSG00000226476	NA	NA	rs579728-G	rs579728	0	579728	intron_variant	0		1E-9	9		0.07	[0.05-0.09] unit increase	NR [NR]	N
1	rs2126180	1	 61092456	rs814197	2019-07-09	31043756	Stahl EA	2019-05-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31043756	Genome-wide association study identifies 30 loci associated with bipolar disorder.	Bipolar disorder	20,352 European ancestry cases, 31,358 European ancestry controls	9,412 European ancestry cases, 137,760 European ancestry controls	1p32.1	intergenic	LINC01748			ENSG00000226476	NA	NA	rs814197-G	rs814197	0	814197	intron_variant	0	0.44799999999999995	2E-6	5.69897000433602		1.0537963		NR [9372253] (imputed)	N
1	rs2126180	1	 61093840	rs546671	2019-07-12	31043756	Stahl EA	2019-05-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31043756	Genome-wide association study identifies 30 loci associated with bipolar disorder.	Bipolar I disorder	14,879 European ancestry cases, 31,358 European ancestry controls	NA	1p32.1	NR	LINC01748			ENSG00000226476	NA	NA	rs546671-A	rs546671	0	546671	intron_variant	0	0.447	4E-7	6.39794000867204		1.07929		NR [9372253] (imputed)	N
1	rs2126180	1	 61095558	rs472913	2009-05-14	19416921	Scott LJ	2009-05-05	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/19416921	Genome-wide association and meta-analysis of bipolar disorder in individuals of European ancestry.	Bipolar disorder	3,683 European ancestry cases, 14,507 European ancestry controls	NA	1p32.1	NF1A	LINC01748			ENSG00000226476	NA	NA	rs472913-C	rs472913	0	472913	intron_variant	0	0.50	2E-7	6.69897000433602		1.18	[1.11-1.25]	Affymetrix, Illumina [2366197] (imputed)	N
1	rs2126180	1	 61104159	rs571017	2021-04-27	33686288	Peyrot WJ	2021-03-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33686288	Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.	Bipolar disorder vs ADHD (ordinary least squares (OLS))	20,352 bipolar disorder cases, 19,099 ADHD cases	NA	1p32.1		LINC01748			ENSG00000226476	NA	NA	rs571017-?	rs571017	0	571017	intron_variant	0	NR	4E-9	8.39794000867204		0.0207	NR unit increase	NR [5637374] (imputed)	N
