region2	reg_region	type	tissue/cell	genes
11:64690000-64700000	11:64691031-64693034	prom	E053	NA
11:64690000-64700000	11:64691031-64693034	prom	E054	NA
11:64690000-64700000	11:64691031-64693034	prom	E067	NA
11:64690000-64700000	11:64691031-64693034	prom	E068	NA
11:64690000-64700000	11:64691031-64693034	prom	E069	NA
11:64690000-64700000	11:64691031-64693034	prom	E070	NA
11:64690000-64700000	11:64691031-64693034	prom	E071	NA
11:64690000-64700000	11:64691031-64693034	prom	E072	NA
11:64690000-64700000	11:64691031-64693034	prom	E073	NA
11:64690000-64700000	11:64691031-64693034	prom	E074	NA
11:64690000-64700000	11:64691031-64693034	prom	E081	NA
11:64690000-64700000	11:64691031-64693034	prom	E082	NA
11:64880000-64890000	11:64884055-64885660	prom	E053	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E054	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E067	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E068	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E069	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E070	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E071	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E072	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E073	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E074	ENSG00000174276
11:64880000-64890000	11:64884055-64885660	prom	E082	ENSG00000174276
11:64880000-64890000	11:64888665-64890203	prom	E053	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E054	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E067	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E068	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E069	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E070	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E071	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E072	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E073	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E074	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E081	ENSG00000149806:ENSG00000149792
11:64880000-64890000	11:64888665-64890203	prom	E082	ENSG00000149806:ENSG00000149792
11:64940000-64950000	11:64948027-64950339	prom	E053	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E054	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E067	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E068	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E069	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E070	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E071	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E072	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E073	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E074	ENSG00000254614:ENSG00000014216
11:64940000-64950000	11:64948027-64950339	prom	E082	ENSG00000254614:ENSG00000014216
11:65030000-65040000	11:65028589-65030328	prom	E053	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E054	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E067	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E068	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E069	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E070	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E071	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E072	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E073	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E074	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E081	ENSG00000014138
11:65030000-65040000	11:65028589-65030328	prom	E082	ENSG00000014138
11:65240000-65250000	11:65243828-65245617	prom	E053	NA
11:65240000-65250000	11:65243828-65245617	prom	E054	NA
11:65240000-65250000	11:65243828-65245617	prom	E067	NA
11:65240000-65250000	11:65243828-65245617	prom	E068	NA
11:65240000-65250000	11:65243828-65245617	prom	E069	NA
11:65240000-65250000	11:65243828-65245617	prom	E070	NA
11:65240000-65250000	11:65243828-65245617	prom	E071	NA
11:65240000-65250000	11:65243828-65245617	prom	E072	NA
11:65240000-65250000	11:65243828-65245617	prom	E073	NA
11:65240000-65250000	11:65243828-65245617	prom	E074	NA
11:65240000-65250000	11:65243828-65245617	prom	E081	NA
11:65240000-65250000	11:65243828-65245617	prom	E082	NA
11:65260000-65270000	11:65263579-65276627	prom	E082	NA
11:65330000-65340000	11:65336152-65338569	prom	E053	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E054	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E067	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E068	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E069	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E070	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E071	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E072	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E073	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E074	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E081	ENSG00000173465
11:65330000-65340000	11:65336152-65338569	prom	E082	ENSG00000173465
11:65370000-65380000	11:65379830-65384438	prom	E053	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E054	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E067	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E068	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E069	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E070	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E071	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E072	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E073	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E074	ENSG00000173327:ENSG00000197136
11:65370000-65380000	11:65379830-65384438	prom	E082	ENSG00000173327:ENSG00000197136
11:65410000-65420000	11:65414192-65415429	prom	E053	NA
11:65410000-65420000	11:65414192-65415429	prom	E068	NA
11:65410000-65420000	11:65414192-65415429	prom	E070	NA
11:65410000-65420000	11:65414192-65415429	prom	E072	NA
11:65410000-65420000	11:65414192-65415429	prom	E074	NA
11:65410000-65420000	11:65414192-65415429	prom	E082	NA
11:65430000-65440000	11:65428749-65431807	prom	E053	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E054	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E067	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E068	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E069	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E071	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E072	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E073	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E074	ENSG00000173039
11:65430000-65440000	11:65428749-65431807	prom	E082	ENSG00000173039
11:65480000-65490000	11:65478614-65480891	prom	E053	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E054	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E067	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E068	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E069	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E070	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E071	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E072	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E073	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E074	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E081	ENSG00000172977
11:65480000-65490000	11:65478614-65480891	prom	E082	ENSG00000172977
11:65480000-65490000	11:65487172-65488533	prom	E053	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E054	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E067	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E068	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E071	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E072	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E073	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E074	ENSG00000172922
11:65480000-65490000	11:65487172-65488533	prom	E082	ENSG00000172922
11:65540000-65550000	11:65547112-65549669	prom	E053	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E054	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E067	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E068	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E069	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E071	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E072	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E073	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E074	ENSG00000254470
11:65540000-65550000	11:65547112-65549669	prom	E082	ENSG00000254470
11:65580000-65590000	11:65585009-65586518	prom	E053	NA
11:65580000-65590000	11:65585009-65586518	prom	E054	NA
11:65580000-65590000	11:65585009-65586518	prom	E067	NA
11:65580000-65590000	11:65585009-65586518	prom	E069	NA
11:65580000-65590000	11:65585009-65586518	prom	E070	NA
11:65580000-65590000	11:65585009-65586518	prom	E071	NA
11:65580000-65590000	11:65585009-65586518	prom	E072	NA
11:65580000-65590000	11:65585009-65586518	prom	E073	NA
11:65580000-65590000	11:65585009-65586518	prom	E074	NA
11:65580000-65590000	11:65585009-65586518	prom	E082	NA
11:65600000-65610000	11:65600375-65602210	prom	E053	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E054	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E067	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E068	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E069	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E070	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E071	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E072	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E073	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E074	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E081	ENSG00000172803
11:65600000-65610000	11:65600375-65602210	prom	E082	ENSG00000172803
11:65620000-65630000	11:65623184-65629582	prom	E053	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E054	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E067	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E068	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E069	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E070	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E071	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E072	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E073	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E074	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E081	ENSG00000172757:ENSG00000172732
11:65620000-65630000	11:65623184-65629582	prom	E082	ENSG00000172757:ENSG00000172732
11:65640000-65650000	11:65638861-65641476	prom	E053	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E054	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E067	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E068	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E069	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E070	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E071	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E072	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E073	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E074	ENSG00000172638
11:65640000-65650000	11:65638861-65641476	prom	E082	ENSG00000172638
11:65640000-65650000	11:65641596-65641706	prom	E054	NA
11:65640000-65650000	11:65641596-65641706	prom	E067	NA
