# ALPHA = 0.05
# NUMBER_OF_TESTS = 15485

# _SET1_  VARIABLE = GO_bp:go_sphingomyelin_catabolic_process (set)
# _SET1_  NGENES = 7
# _SET1_  P-VALUE = 1.69906e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000130768     1   28261504   28285668    105      19  173005      0.52889      0.22435    1.1102e-16      0.52889
_SET1_   ENSG00000136699     2  130908981  130940323     65       8  173005      0.11037      0.37902    8.3267e-17      0.11037
_SET1_   ENSG00000163932     3   53190025   53226733    105      20  173005      0.44293      0.26808    1.1102e-16      0.44293
_SET1_   ENSG00000135587     6  109761966  109765122      9       4  173005        1.834      0.02213             0        1.834
_SET1_   ENSG00000166311    11    6411655    6416228     18       8  173005      0.10886      0.40774    8.3267e-17      0.10886
_SET1_   ENSG00000103056    16   68392231   68482591    261      36  173005       1.3722     0.056491             0       1.3722
_SET1_   ENSG00000182156    17   77704681   77716021     55      15  173005       2.1662    0.0091789             0       2.1662

# _SET2_  VARIABLE = GO_mf:go_sphingomyelin_phosphodiesterase_activity (set)
# _SET2_  NGENES = 6
# _SET2_  P-VALUE = 1.1215e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000130768     1   28261504   28285668    105      19  173005      0.52889      0.22435    1.1102e-16      0.52889
_SET2_   ENSG00000136699     2  130908981  130940323     65       8  173005      0.11037      0.37902    8.3267e-17      0.11037
_SET2_   ENSG00000135587     6  109761966  109765122      9       4  173005        1.834      0.02213             0        1.834
_SET2_   ENSG00000166311    11    6411655    6416228     18       8  173005      0.10886      0.40774    8.3267e-17      0.10886
_SET2_   ENSG00000103056    16   68392231   68482591    261      36  173005       1.3722     0.056491             0       1.3722
_SET2_   ENSG00000182156    17   77704681   77716021     55      15  173005       2.1662    0.0091789             0       2.1662
