# ALPHA = 0.05
# NUMBER_OF_TESTS = 15484

# _SET1_  VARIABLE = Curated_gene_sets:reactome_neuronal_system (set)
# _SET1_  NGENES = 385
# _SET1_  P-VALUE = 2.7511e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000078369     1    1716729    1822495    145      19  390241       1.2538     0.029083   -8.8818e-15       1.2538
_SET1_   ENSG00000069424     1    6051526    6161253    307      47  389429     -0.90029        0.575   -8.8818e-15     -0.90029
_SET1_   ENSG00000117245     1   20990507   21044510    205      43  397325      0.97001       0.0501   -8.8818e-15      0.97001
_SET1_   ENSG00000117676     1   26856252   26901521     92      12  406892      -1.2601      0.74742   -8.8818e-15      -1.2601
_SET1_   ENSG00000159023     1   29213603   29446553    384      23  396955      0.83406      0.05971   -8.8818e-15      0.83406
_SET1_   ENSG00000116544     1   35331037   35395186    101      29  384754       2.5503   0.00067285   -8.8818e-15       2.5503
_SET1_   ENSG00000163873     1   37261128   37499730    474      54  389572        -1.26      0.69346   -8.8818e-15        -1.26
_SET1_   ENSG00000117013     1   41249684   41306124    176      38  394680       1.0914     0.038628   -8.8818e-15       1.0914
_SET1_   ENSG00000142949     1   43990858   44089343    239      18  396647       1.8064    0.0059611   -8.8818e-15       1.8064
_SET1_   ENSG00000162383     1   53552855   53608289    274      32  390739      -1.2027      0.69085   -8.8818e-15      -1.2027
_SET1_   ENSG00000162409     1   57110995   57181008    242      19  390082      -0.2805      0.33319   -8.8818e-15      -0.2805
_SET1_   ENSG00000172380     1   68167149   68299150    286      26  393402     -0.62676      0.46513   -8.8818e-15     -0.62676
_SET1_   ENSG00000033122     1   70034081   70617628   1535      67  400342      -0.4923      0.22739   -8.8818e-15      -0.4923
_SET1_   ENSG00000142875     1   84543745   84704181    225      21  399253      0.28867      0.16198   -8.8818e-15      0.28867
_SET1_   ENSG00000174021     1   84964008   84972248     28       9  378942     -0.54414      0.52181   -8.8818e-15     -0.54414
_SET1_   ENSG00000065135     1  110091233  110136975     64      11  391152     -0.24215      0.37676    -8.854e-15     -0.24215
_SET1_   ENSG00000116396     1  110753965  110825722    217      25  384517       -2.234      0.93502   -8.8818e-15       -2.234
_SET1_   ENSG00000143105     1  111059839  111061797      5       2  413382      -1.1704      0.77831   -8.8818e-15      -1.1704
_SET1_   ENSG00000177301     1  111136202  111174096    100      12  398653      0.66165       0.1142   -8.8818e-15      0.66165
_SET1_   ENSG00000177272     1  111214310  111217655      1       1  413466    -0.072776       0.3708    -8.854e-15    -0.072776
_SET1_   ENSG00000171385     1  112313284  112531777    648      76  396518       1.0434     0.031668   -8.8818e-15       1.0434
_SET1_   ENSG00000213281     1  115247090  115259515     13       3  391621        1.263      0.04571   -8.8818e-15        1.263
_SET1_   ENSG00000131791     1  146626685  146644129     53       8  408718       1.6198     0.015253   -8.8818e-15       1.6198
_SET1_   ENSG00000160716     1  154540257  154552502     20       8  375656      0.49116      0.16274   -8.8818e-15      0.49116
_SET1_   ENSG00000143603     1  154669931  154842756    514      82  392151      0.47447      0.10654   -8.8818e-15      0.47447
_SET1_   ENSG00000143630     1  155247374  155259639     25       4  374048       1.2172     0.043155   -8.8818e-15       1.2172
_SET1_   ENSG00000177807     1  160007257  160040038     60      13  402129       1.3009     0.028149   -8.8818e-15       1.3009
_SET1_   ENSG00000162728     1  160051360  160060353     20       5  390448       1.3704     0.027917   -8.8818e-15       1.3704
_SET1_   ENSG00000198216     1  181382238  181777219    991      77  397325      0.84669     0.034351   -8.8818e-15      0.84669
_SET1_   ENSG00000135821     1  182350839  182361341     31       6  374711       1.4042     0.024002   -8.8818e-15       1.4042
_SET1_   ENSG00000143858     1  202559724  202679545    279      37  401126    -0.059375      0.25069    -8.854e-15    -0.059375
_SET1_   ENSG00000143847     1  202995626  203047868    169      24  399804     0.085373      0.22064    -8.854e-15     0.085373
_SET1_   ENSG00000143473     1  210856555  211307457   1347      80  392963     -0.76117      0.35473   -8.8818e-15     -0.76117
_SET1_   ENSG00000082482     1  215179118  215410436    593      27  395748      0.61638     0.068134   -8.8818e-15      0.61638
_SET1_   ENSG00000135750     1  233749750  233808258    183      36  392332     -0.30555      0.35204   -8.8818e-15     -0.30555
_SET1_   ENSG00000168243     1  235710987  235814054    323      35  394256      -1.4354      0.74704   -8.8818e-15      -1.4354
_SET1_   ENSG00000077522     1  236849754  236927931    267      29  388962      0.31188      0.15768   -8.8818e-15      0.31188
_SET1_   ENSG00000162975     2   11052063   11054350      4       2  411727      0.33895      0.23158   -8.8818e-15      0.33895
_SET1_   ENSG00000170745     2   18059114   18542882   1843     118  399080     0.079584     0.089626    -8.854e-15     0.079584
_SET1_   ENSG00000138031     2   25042038   25142708    361      22  399670      -1.2948      0.70295   -8.8818e-15      -1.2948
_SET1_   ENSG00000171303     2   26915619   26956288     83      13  401549       1.6627     0.010821   -8.8818e-15       1.6627
_SET1_   ENSG00000171126     2   42669157   42721237    130      22  393767      -0.4363      0.41478   -8.8818e-15      -0.4363
_SET1_   ENSG00000179915     2   50145643   51259674   3430     122  398498       1.9929    0.0002857   -8.8818e-15       1.9929
