ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000172260	NEGR1	1	71861623	72748417	-1	protein_coding	257194	NEGR1	0.951349394977358	-1.713579543	6	17.85	29	2.61368e-09	1.84029e-05	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	No	NA	2.151e-08	rs7531118	1
ENSG00000079689	SCGN	6	25652464	25702011	1	protein_coding	10590	SCGN	0.0359460022848758	0.102935794	2	0.732	0	NA	NA	NA	NA	No	NA	0.01507	rs13195401	4
ENSG00000146047	HIST1H2BA	6	25727137	25727573	1	protein_coding	255626	HIST1H2BA	0.132823726172591	0.401920693	0	0	171	0.000148102095718954	0.0295034139067779	BRAINEAC/OCTX	NA	No	NA	1.244e-08	rs13195401;rs9379871	4
ENSG00000146039	SLC17A4	6	25754927	25781419	1	protein_coding	10050	SLC17A4	6.33422534991957e-06	0.944835588	2	5.129	0	NA	NA	NA	NA	No	NA	0.0001552	rs13195401	4
ENSG00000124568	SLC17A1	6	25783125	25832287	-1	protein_coding	6568	SLC17A1	2.59261497697838e-10	-0.181263012	15	9.209	0	NA	NA	NA	NA	No	NA	0.0001552	rs13195401	4
ENSG00000124564	SLC17A3	6	25833294	25882514	-1	protein_coding	10786	SLC17A3	9.88205561287661e-14	-0.246502705	18	12.01	0	NA	NA	NA	NA	No	NA	9.905e-05	rs13195401	4
ENSG00000112337	SLC17A2	6	25912982	25930946	-1	protein_coding	10246	SLC17A2	0.00466985446742192	-0.129201002	4	3.013	0	NA	NA	NA	NA	No	NA	0.000199	rs13195401	4
ENSG00000112343	TRIM38	6	25963030	25987384	1	protein_coding	10475	TRIM38	4.75130205096512e-06	-0.220583262	5	5.1	0	NA	NA	NA	NA	No	NA	0.0002533	rs13195401	4
ENSG00000124610	HIST1H1A	6	26017260	26018040	-1	protein_coding	3024	HIST1H1A	0.00353079926543669	-0.372206788	2	9.502	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000198366	HIST1H3A	6	26020718	26021186	1	protein_coding	8350	HIST1H3A	3.98008178767139e-05	-0.225706842	2	9.502	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000196176	HIST1H4A	6	26021907	26022278	1	protein_coding	8359	HIST1H4A	0.00228540295756206	0.434170117	2	9.502	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000124529	HIST1H4B	6	26027124	26027480	-1	protein_coding	8366	HIST1H4B	0.00854182671998013	0.166119276	1	9.502	5	0.000158671	0.0125603844988588	PsychENCODE_eQTLs	-	Yes	Fetal_Cortex:Neural_Progenitor_Cell	1.258e-08	rs13195401;rs9379871;rs6940116:rs156743	4
ENSG00000124693	HIST1H3B	6	26031817	26032288	-1	protein_coding	8358	HIST1H3B	0.307282993148648	0.251696243	2	9.502	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000137259	HIST1H2AB	6	26033320	26033796	-1	protein_coding	8335	HIST1H2AB	0.00531944331445787	0.228134732	1	0.6	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	4.922e-08	rs13195401;rs6940116:rs156743	4
ENSG00000196226	HIST1H2BB	6	26043455	26043885	-1	protein_coding	3018	HIST1H2BB	0.130327871216174	0.288116693	2	0.6	0	NA	NA	NA	NA	No	NA	0.000119	rs13195401	4
