GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269308	1	818043	819983	5	3	386112	-1.4801	0.93058	AL645608.2
ENSG00000187634	1	860260	879955	96	21	385768	1.0545	0.14584	SAMD11
ENSG00000268179	1	861264	866445	31	8	386041	1.1266	0.12995	AL645608.1
ENSG00000188976	1	879584	894689	72	13	385815	0.11035	0.45607	NOC2L
ENSG00000187961	1	895967	901095	28	8	385213	1.1198	0.1314	KLHL17
ENSG00000187583	1	901877	911245	40	18	383954	0.67787	0.24893	PLEKHN1
ENSG00000187642	1	910579	917497	25	6	383933	0.7075	0.23963	C1orf170
ENSG00000188290	1	934342	935552	6	3	384156	0.3258	0.37229	HES4
ENSG00000187608	1	948803	949920	9	4	386085	-0.3664	0.64297	ISG15
ENSG00000188157	1	955503	991496	194	32	384944	-0.25334	0.6	AGRN
ENSG00000237330	1	1006346	1009687	10	4	383343	-0.057227	0.52282	RNF223
ENSG00000131591	1	1017198	1051741	125	17	384852	-1.7073	0.95612	C1orf159
ENSG00000162571	1	1109264	1133315	155	21	384760	0.26201	0.39666	TTLL10
ENSG00000186891	1	1138888	1142071	14	4	384105	-0.38133	0.64852	TNFRSF18
ENSG00000186827	1	1146706	1149518	10	4	384662	-0.50342	0.69266	TNFRSF4
ENSG00000078808	1	1152288	1167411	97	6	385183	0.23468	0.40723	SDF4
ENSG00000176022	1	1167629	1170421	9	3	385910	-2.3941	0.99167	B3GALT6
ENSG00000184163	1	1177826	1182102	13	3	385360	-0.52908	0.70163	FAM132A
ENSG00000160087	1	1189289	1209265	66	12	384919	-0.93016	0.82385	UBE2J2
ENSG00000162572	1	1215816	1227409	53	19	384919	-1.0385	0.85047	SCNN1D
ENSG00000131584	1	1227756	1244989	78	20	385748	-0.51348	0.69619	ACAP3
ENSG00000169972	1	1243947	1247057	10	5	385779	1.1215	0.13103	PUSL1
ENSG00000127054	1	1246965	1260071	37	11	385829	0.88531	0.18799	CPSF3L
ENSG00000224051	1	1260136	1264277	20	6	385664	0.22712	0.41016	GLTPD1
ENSG00000169962	1	1266694	1270686	23	11	385725	-0.0043531	0.50174	TAS1R3
ENSG00000107404	1	1270656	1284730	53	14	385649	0.53791	0.29532	DVL1
ENSG00000162576	1	1288069	1297157	37	8	385807	-0.15031	0.55974	MXRA8
ENSG00000175756	1	1309110	1310875	12	4	385993	-0.50749	0.69409	AURKAIP1
ENSG00000221978	1	1321091	1334708	34	15	385504	0.74883	0.22698	CCNL2
ENSG00000224870	1	1334902	1337426	10	3	385031	-1.647	0.95022	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	19	8	385739	-0.043454	0.51733	MRPL20
ENSG00000235098	1	1353800	1357149	8	3	383806	-1.4191	0.92207	ANKRD65
ENSG00000205116	1	1361508	1363167	6	2	379384	-0.37578	0.64646	TMEM88B
ENSG00000179403	1	1370241	1378262	6	2	376095	-0.22287	0.58818	VWA1
ENSG00000215915	1	1385069	1405538	16	5	383164	-0.99289	0.83962	ATAD3C
ENSG00000160072	1	1407143	1433228	55	5	385062	-2.2591	0.98806	ATAD3B
ENSG00000197785	1	1447531	1470067	52	7	385017	-1.6843	0.95394	ATAD3A
ENSG00000205090	1	1470554	1475833	7	2	382641	3.0251	0.0012426	TMEM240
ENSG00000160075	1	1477053	1510249	91	10	385147	2.6757	0.0037292	SSU72
ENSG00000215014	1	1510355	1511373	3	1	382856	3.0425	0.0011729	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	383388	-0.72194	0.76483	C1orf233
ENSG00000197530	1	1550795	1565990	21	5	383172	-1.2246	0.88964	MIB2
ENSG00000248333	1	1570603	1590473	16	3	384304	-0.91871	0.82088	CDK11B
ENSG00000189339	1	1592939	1624167	30	7	382658	0.48767	0.31289	SLC35E2B
ENSG00000215790	1	1656277	1677431	4	1	374925	0.41632	0.33859	SLC35E2
ENSG00000008130	1	1682671	1711896	77	12	384582	4.4808	3.7183e-06	NADK
ENSG00000078369	1	1716729	1822495	159	22	385055	4.0765	2.2858e-05	GNB1
ENSG00000169885	1	1846266	1848735	14	5	385482	4.385	5.8e-06	CALML6
ENSG00000178821	1	1849029	1850712	6	3	384962	4.4383	4.5337e-06	TMEM52
ENSG00000142609	1	1853396	1935276	286	23	381195	3.3078	0.00047013	C1orf222
ENSG00000187730	1	1950780	1962192	16	3	383392	-1.4739	0.92974	GABRD
ENSG00000067606	1	1981909	2116834	550	43	384736	0.50205	0.30781	PRKCZ
ENSG00000162585	1	2115903	2144159	65	17	383986	0.36129	0.35894	C1orf86
ENSG00000269554	1	2121237	2123179	5	3	383685	0.68594	0.24638	AL590822.2
ENSG00000203301	1	2143360	2145620	5	3	379689	-0.83518	0.79819	AL590822.1
ENSG00000157933	1	2160134	2241558	262	43	383819	-0.54285	0.70638	SKI
