ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000183638	RP1L1	8	10463859	10569697	-1	protein_coding	94137	RP1L1	NA	1.244966111	5	3.864	0	NA	NA	NA	NA	No	NA	1.065e-08	rs10099100	1
ENSG00000171056	SOX7	8	10581278	10697357	-1	protein_coding	83595	SOX7	0.131241610927833	0.638029508	6	17.85	0	NA	NA	NA	NA	No	NA	1.065e-08	rs10099100	1
ENSG00000258724	SOX7	8	10582909	10697357	-1	protein_coding	83595	SOX7	NA	0.638029508	4	17.85	0	NA	NA	NA	NA	No	NA	1.065e-08	rs10099100	1
ENSG00000254093	PINX1	8	10622473	10697394	-1	protein_coding	54984	PINX1	4.9427916851122e-09	-0.063935492	0	0	2	2.90142e-05	0.00283252855202064	PsychENCODE_eQTLs	-	No	NA	6.2e-08	rs10099100	1
ENSG00000172264	MACROD2	20	13976015	16033842	1	protein_coding	140733	MACROD2	0.0113567470210345	3.34668599	49	20.4	0	NA	NA	NA	NA	No	NA	2.752e-08	rs71190156	2
ENSG00000125848	FLRT3	20	14303634	14318262	-1	protein_coding	23767	FLRT3	0.988394618338844	-0.403262244	0	0	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	4.968e-06	rs71190156	2
ENSG00000125879	OTOR	20	16729003	16750707	1	protein_coding	56914	OTOR	0.0148213358106119	0.509029889	0	0	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	4.968e-06	rs71190156	2
ENSG00000089101	C20orf26	20	20033158	20341346	1	protein_coding	26074	C20orf26	6.86648939566699e-10	NA	5	9.472	0	NA	NA	NA	NA	No	NA	NA	chr20:21117240	3
ENSG00000188559	RALGAPA2	20	20370196	20693131	-1	protein_coding	57186	RALGAPA2	8.48775696516084e-06	NA	8	14.46	0	NA	NA	NA	NA	No	NA	NA	chr20:21117240	3
ENSG00000088930	XRN2	20	21283942	21370463	1	protein_coding	22803	XRN2	0.813170185835591	-0.511318347	103	13.49	116	4.81061e-08	8.0636300609638e-06	PsychENCODE_eQTLs	-	No	NA	1.589e-08	rs910805;rs6035820;rs12625304;chr20:21117240;chr20:21199826	3
ENSG00000125816	NKX2-4	20	21376005	21378666	-1	protein_coding	644524	NKX2-4	0.278447692496314	-0.618232094	14	11.39	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	2.126e-08	rs910805;rs6035820;chr20:21199826;chr20:21117240	3
