ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000131584	ACAP3	1	1227756	1244989	-1	protein_coding	116983	ACAP3	0.0394309302206711	NA	0	0	7	1.6662e-06	0.0129531823471489	eQTLGen_trans_eQTLs	-	No	NA	1.296e-08	rs35631660;rs199498	219
ENSG00000197785	ATAD3A	1	1447531	1470067	1	protein_coding	55210	ATAD3A	0.0401305978810457	0.463338703	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	3.957e-10	rs6673880:rs58946679:rs6673880;rs4648637:rs4648637	1
ENSG00000160075	SSU72	1	1477053	1510249	-1	protein_coding	29101	SSU72	0.606848849205337	NA	0	0	1	0.000103696	3.69714e-12	GTEx/v8/Artery_Tibial	+	No	NA	1.738e-09	rs6673880;rs58946679	1
ENSG00000008130	NADK	1	1682671	1711896	-1	protein_coding	65220	NADK	0.00126768961404905	-0.378362489	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	3.957e-10	rs6673880:rs58946679:rs6673880;rs4648637:rs4648637	1
ENSG00000157911	PEX10	1	2336236	2345236	-1	protein_coding	5192	PEX10	0.010463632475946	-0.228251586	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.321e-12	rs6673880:rs58946679:rs6673880;rs4648637:rs4648637	1
ENSG00000149527	PLCH2	1	2357419	2436969	1	protein_coding	9651	PLCH2	1.70518647543863e-08	NA	49	13.23	48	6.2401e-38	0	EyeGEx:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Thyroid	+	No	NA	1.321e-12	rs6673880;rs58946679;rs4648637	1
ENSG00000157870	FAM213B	1	2517930	2522908	1	protein_coding	127281	FAM213B	0.000166699570192146	-0.796176927	0	0	45	3.8845e-15	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	-	No	NA	1.321e-12	rs6673880;rs58946679;rs4648637	1
ENSG00000142606	MMEL1	1	2522078	2564481	-1	protein_coding	79258	MMEL1	8.87673673427084e-13	0.424398875	0	0	44	2.2407e-14	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	-	No	NA	1.321e-12	rs6673880;rs58946679;rs4648637	1
ENSG00000215912	TTC34	1	2567415	2718286	-1	protein_coding	100287898	TTC34	NA	NA	0	0	12	2.99737e-06	0.0022620074047776	PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	+	Yes	Promoter_anchored_loops	1.321e-12	rs6673880;rs4648637;rs58946679;rs58946679:rs6673880:rs58946679:rs6673880	1
ENSG00000130762	ARHGEF16	1	3370990	3397677	1	protein_coding	27237	ARHGEF16	9.36505312388017e-08	NA	0	0	0	NA	NA	NA	NA	Yes	EP_links_oneway:Promoter_anchored_loops	1.321e-12	rs6673880:rs58946679:rs6673880;rs4648637:rs4648637	1
