GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs1143702	1	 44029353	rs11210871	2018-02-23	29326435	Hill WD	2018-01-11	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29326435	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	Intelligence (MTAG)	120,934 British ancestry individuals, 127,548 individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs11210871-C	rs11210871	0	11210871	intron_variant	0	NR	4E-10	9.39794000867204		0.019687697	[0.014-0.026] unit decrease	Affymetrix [NR]	N
1	rs1143702	1	 44029353	rs11210871	2018-09-17	29844566	Davies G	2018-05-29	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29844566	Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.	General cognitive ability	up to 300,486 European ancestry individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs11210871-C	rs11210871	0	11210871	intron_variant	0	NR	4E-9	8.39794000867204		5.89	z-score decrease	Affymetrix, Illumina [at least 2500000] (imputed)	N
1	rs1143702	1	 44029353	rs11210871	2018-09-12	29942086	Savage JE	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942086	Genome-wide association meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence.	Intelligence	269,867 European ancestry individuals	NA	1p34.2	NR	PTPRF			ENSG00000142949	NA	NA	rs11210871-C	rs11210871	0	11210871	intron_variant	0	NR	3E-9	8.52287874528034		5.927	z-score decrease	Affymetrix, Illumina [9295118] (imputed)	N
1	rs1143702	1	 44029353	rs11210871	2021-02-26	33563987	Tyrrell J	2021-02-09	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33563987	Genetic predictors of participation in optional components of UK Biobank.	Percentage of invited food questionnaires completed	300,639 European ancestry individuals	NA	1p34.2	NR	PTPRF			ENSG00000142949	NA	NA	rs11210871-C	rs11210871	0	11210871	intron_variant	0	0.3	2E-9	8.69897000433602		0.59	[0.39-0.79] unit decrease	Affymetrix [39302896] (imputed)	N
1	rs1143702	1	 44037685	rs3001723	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	General risk tolerance (MTAG)	975,353 European ancestry individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs3001723-A	rs3001723	0	3001723	intron_variant	0	0.3	7E-10	9.15490195998574		0.0079	[0.0054-0.0104] unit increase	Affymetrix, Illumina [5869552] (imputed)	N
1	rs1143702	1	 44037685	rs3001723	2019-04-09	30478444	Demontis D	2018-11-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30478444	Discovery of the first genome-wide significant risk loci for attention deficit/hyperactivity disorder.	Attention deficit hyperactivity disorder	19,099 European ancestry cases, 72 non-European ancestry cases, 1,012 Han Chinese ancestry cases, 34,194 European ancestry controls, 72 non-European ancestry controls, 925 Han Chinese ancestry controls	5,085 Icelandic ancestry cases, 5,857 cases, 131,122 Icelandic ancestry controls, 70,393 controls	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs3001723-A	rs3001723	0	3001723	intron_variant	0	NR	1E-8	8		1.075	NR	Affymetrix, Illumina, Perlegen [8047421] (imputed)	N
1	rs1143702	1	 44037685	rs3001723	2019-04-18	30617275	Erzurumluoglu AM	2019-01-07	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30617275	Meta-analysis of up to 622,409 individuals identifies 40 novel smoking behaviour associated genetic loci.	Smoking initiation	324,851 European ancestry individuals, 21,962 South Asian ancestry individuals	up to 275,596 European ancestry individuals	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs3001723-A	rs3001723	0	3001723	intron_variant	0	0.21	7E-11	10.1549019599857		0.0159	[0.01-0.022] unit increase (replication)	Affymetrix, Illumina [up to 1207583] (imputed)	N
1	rs1143702	1	 44037685	rs3001723	2016-07-23	26198764	Goes FS	2015-07-21	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/26198764	Genome-wide association study of schizophrenia in Ashkenazi Jews.	Schizophrenia	592 Ashkenazi Jewish ancestry cases, 505 Ashkenazi Jewish ancestry controls, 36,989 cases, 113,075 controls	NA	1p34.2	NR	PTPRF			ENSG00000142949	NA	NA	rs3001723-A	rs3001723	0	3001723	intron_variant	0	NR	3E-9	8.52287874528034		1.07	[NR]	Illumina [7158791] (imputed)	N
1	rs1143702	1	 44037685	rs3001723	2021-05-19	33082346	Xu K	2020-10-20	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33082346	Genome-wide association study of smoking trajectory and meta-analysis of smoking status in 842,000 individuals.	Smoking initiation	842,717 European ancestry individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs3001723-A	rs3001723	0	3001723	intron_variant	0		2E-16	15.698970004336		1.032	[NR]	Affymetrix [up to 79000000] (imputed)	N
1	rs1143702	1	 44037685	rs3001723	2020-02-11	31835028	Cross-Disorder Group of the Psychiatric Genomics Consortium	2019-12-01	Cell	www.ncbi.nlm.nih.gov/pubmed/31835028	Genomic Relationships, Novel Loci, and Pleiotropic Mechanisms across Eight Psychiatric Disorders.	Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)	19,009 European ancestry ADHD cases, 3,495 European ancestry anorexia cases, 18,381 European ancestry autism cases, 20,352 European ancestry bipolar disorder cases, 130,664 European ancestry major depression cases, 2,688 European ancestry OCD cases, 33,640 European ancestry schizophrenia cases, 4,645 European ancestry Tourette's cases, 494,162 European ancestry controls	NA	1p34.2	PTPRF, KDM4A	PTPRF			ENSG00000142949	NA	NA	rs3001723-?	rs3001723	0	3001723	intron_variant	0		7E-14	13.1549019599857		NA		NR [6786993] (imputed)	N
1	rs1143702	1	 44072420	rs539096	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Number of sexual partners	370,711 European ancestry individuals	NA	1p34.2	KDM4A	PTPRF			ENSG00000142949	NA	NA	rs539096-A	rs539096	0	539096	intron_variant	0	0.219	5E-12	11.301029995664		0.019712323	[0.014-0.025] unit increase	Affymetrix [11515109] (imputed)	N
1	rs1143702	1	 44072420	rs539096	2018-02-23	29326435	Hill WD	2018-01-11	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29326435	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	Intelligence (MTAG)	120,934 British ancestry individuals, 127,548 individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs539096-A	rs539096	0	539096	intron_variant	0	NR	9E-9	8.04575749056068		0.020174427	[0.013-0.027] unit decrease	Affymetrix [NR]	N
1	rs1143702	1	 44076019	rs11210887	2019-10-04	30679032	Brazel DM	2018-12-06	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30679032	Exome Chip Meta-analysis Fine Maps Causal Variants and Elucidates the Genetic Architecture of Rare Coding Variants in Smoking and Alcohol Use.	Smoking initiation (ever regular vs never regular)	up to 433,216 European ancestry individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs11210887-A	rs11210887	0	11210887	intron_variant	0	0.7	3E-12	11.5228787452803		0.0174	[0.013-0.022] unit decrease	Illumina [~ 250000] (imputed)	N
1	rs1143702	1	 44076019	rs11210887	2019-01-29	30610198	Soler Artigas M	2019-01-04	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30610198	Attention-deficit/hyperactivity disorder and lifetime cannabis use: genetic overlap and causality.	Attention deficit hyperactivity disorder or cannabis use	18,345 European ancestry ADHD cases, 14,374 European ancestry cannabis use cases, 50,410 European ancestry controls	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs11210887-G	rs11210887	0	11210887	intron_variant	0	NR	3E-11	10.5228787452803		1.0869565	[1.06-1.11]	NR [5009020] (imputed)	N
1	rs1143702	1	 44076019	rs11210887	2016-12-21	27046643	Davies G	2016-04-05	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/27046643	Genome-wide association study of cognitive functions and educational attainment in UK Biobank (N=112 151).	Educational attainment	111,114 European ancestry individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs11210887-?	rs11210887	0	11210887	intron_variant	0	NR	1E-8	8		0.0261903	[NR] unit increase	Affymetrix [~ 17300000] (imputed)	N
1	rs1143702	1	 44076469	rs549845	2019-11-26	31689377	Wootton RE	2019-11-06	Psychol Med	www.ncbi.nlm.nih.gov/pubmed/31689377	Evidence for causal effects of lifetime smoking on risk for depression and schizophrenia: a Mendelian randomisation study.	Lifetime smoking index	462,690 European ancestry individuals	NA	1p34.2		PTPRF			ENSG00000142949	NA	NA	rs549845-G	rs549845	0	549845	intron_variant	0	0.301	8E-14	13.0969100130081		0.016	[0.012-0.02] unit increase	Affymetrix [up to 90000000] (imputed)	N
1	rs1143702	1	 44076469	rs549845	2020-01-29	31844048	Hill WD	2019-12-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/31844048	Genome-wide analysis identifies molecular systems and 149 genetic loci associated with income.	Household income (MTAG)	505,541 British and unknown ancestry individuals	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs549845-A	rs549845	0	549845	intron_variant	0	0.2993	3E-11	10.5228787452803		0.014431226	[0.01-0.019] unit increase	Affymetrix [up to 18485882] (imputed)	N
1	rs1143702	1	 44076469	rs549845	2021-07-27	33495439	Demontis D	2021-01-25	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33495439	Risk variants and polygenic architecture of disruptive behavior disorders in the context of attention-deficit/hyperactivity disorder.	Disruptive behavior disorder and attention deficit hyperactivity disorder	3,802 European ancestry cases, 31,305 European ancestry controls, 406 Han Chinese ancestry cases, 917 Han Chinese ancestry controls	NA	1p34.2	PTPRF	PTPRF			ENSG00000142949	NA	NA	rs549845-G	rs549845	0	549845	intron_variant	0	0.3	2E-7	6.69897000433602		1.147	[1.1-1.2]	Affymetrix, Illumina, Perlegen [8285688] (imputed)	N
1	rs1143702	1	 44083015	rs653953	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Smoking status	approximately 458,000 European ancestry individuals	NA	1p34.2		PTPRF			ENSG00000142949	NA	NA	rs653953-?	rs653953	0	653953	intron_variant	0	NR	5E-14	13.301029995664		NA		NR [~ 8900000] (imputed)	N
1	rs1143702	1	 44100084	rs11210892	2019-08-19	31268507	Periyasamy S	2019-07-03	JAMA Psychiatry	www.ncbi.nlm.nih.gov/pubmed/31268507	Association of Schizophrenia Risk With Disordered Niacin Metabolism in an Indian Genome-wide Association Study.	Schizophrenia	816 Indian ancestry cases, 900 Indian ancestry controls, 505 Indian ancestry cases and 871 Indian ancestry controls from 405 families, up to 36,989 European and unknown ancestry cases, up to 113,075 European and unknown ancestry controls	NA	1p34.2	NR	PTPRF - KDM4A	ENSG00000142949	ENSG00000066135		10747	15736	rs11210892-?	rs11210892	0	11210892	intergenic_variant	1	NR	2E-11	10.698970004336		NA		Illumina [up to 5582932] (imputed)	N
1	rs1143702	1	 44100084	rs11210892	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Smoking status (ever vs never smokers)	518,633 European ancestry individuals	NA	1p34.2	KDM4A	PTPRF - KDM4A	ENSG00000142949	ENSG00000066135		10747	15736	rs11210892-A	rs11210892	0	11210892	intergenic_variant	1	0.6733	4E-13	12.397940008672		0.0155720515	[0.011-0.02] unit decrease	Affymetrix [11514654] (imputed)	N
1	rs1143702	1	 44100084	rs11210892	2015-04-16	25056061	Ripke S	2014-07-22	Nature	www.ncbi.nlm.nih.gov/pubmed/25056061	Biological insights from 108 schizophrenia-associated genetic loci.	Schizophrenia	32,405 European ancestry cases, 42,221 European ancestry controls, 1,235 European ancestry cases and 1,235 European ancestry controls from 1235 parent-offspring trios, 1,836 East Asian ancestry cases, 3,383 East Asian ancestry controls	1,513 European ancestry cases, 66,236 European ancestry controls	1p34.2	KDM4A, PTPRF	PTPRF - KDM4A	ENSG00000142949	ENSG00000066135		10747	15736	rs11210892-A	rs11210892	0	11210892	intergenic_variant	1	0.323	3E-10	9.52287874528034		1.0706638	[1.05-1.09]	Affymetrix, Illumina [9005918] (imputed)	N
