region2	reg_region	type	tissue/cell	genes
20:14280001-14320000	20:14312225-14312603	prom	E067	NA
20:14280001-14320000	20:14312225-14312603	prom	E068	NA
20:14280001-14320000	20:14312225-14312603	prom	E070	NA
20:14280001-14320000	20:14312225-14312603	prom	E071	NA
20:14280001-14320000	20:14312225-14312603	prom	E072	NA
20:14280001-14320000	20:14312225-14312603	prom	E073	NA
20:14280001-14320000	20:14312225-14312603	prom	E082	NA
20:14280001-14320000	20:14313591-14314114	prom	E054	NA
20:14280001-14320000	20:14313591-14314114	prom	E067	NA
20:14280001-14320000	20:14313591-14314114	prom	E068	NA
20:14280001-14320000	20:14313591-14314114	prom	E070	NA
20:14280001-14320000	20:14313591-14314114	prom	E071	NA
20:14280001-14320000	20:14313591-14314114	prom	E072	NA
20:14280001-14320000	20:14313591-14314114	prom	E073	NA
20:14280001-14320000	20:14313591-14314114	prom	E081	NA
20:14280001-14320000	20:14313591-14314114	prom	E082	NA
20:14280001-14320000	20:14314151-14314257	prom	E054	NA
20:14280001-14320000	20:14314151-14314257	prom	E067	NA
20:14280001-14320000	20:14314151-14314257	prom	E068	NA
20:14280001-14320000	20:14314151-14314257	prom	E070	NA
20:14280001-14320000	20:14314151-14314257	prom	E071	NA
20:14280001-14320000	20:14314151-14314257	prom	E072	NA
20:14280001-14320000	20:14314151-14314257	prom	E073	NA
20:14280001-14320000	20:14314151-14314257	prom	E081	NA
20:14280001-14320000	20:14314151-14314257	prom	E082	NA
20:14280001-14320000	20:14314343-14314641	prom	E053	NA
20:14280001-14320000	20:14314343-14314641	prom	E054	NA
20:14280001-14320000	20:14314343-14314641	prom	E067	NA
20:14280001-14320000	20:14314343-14314641	prom	E068	NA
20:14280001-14320000	20:14314343-14314641	prom	E069	NA
20:14280001-14320000	20:14314343-14314641	prom	E070	NA
20:14280001-14320000	20:14314343-14314641	prom	E071	NA
20:14280001-14320000	20:14314343-14314641	prom	E072	NA
20:14280001-14320000	20:14314343-14314641	prom	E073	NA
20:14280001-14320000	20:14314343-14314641	prom	E074	NA
20:14280001-14320000	20:14314343-14314641	prom	E081	NA
20:14280001-14320000	20:14314343-14314641	prom	E082	NA
20:14280001-14320000	20:14314681-14314757	prom	E053	NA
20:14280001-14320000	20:14314681-14314757	prom	E054	NA
20:14280001-14320000	20:14314681-14314757	prom	E067	NA
20:14280001-14320000	20:14314681-14314757	prom	E068	NA
20:14280001-14320000	20:14314681-14314757	prom	E069	NA
20:14280001-14320000	20:14314681-14314757	prom	E070	NA
20:14280001-14320000	20:14314681-14314757	prom	E071	NA
20:14280001-14320000	20:14314681-14314757	prom	E072	NA
20:14280001-14320000	20:14314681-14314757	prom	E073	NA
20:14280001-14320000	20:14314681-14314757	prom	E074	NA
20:14280001-14320000	20:14314681-14314757	prom	E082	NA
20:14280001-14320000	20:14314779-14314907	prom	E053	NA
20:14280001-14320000	20:14314779-14314907	prom	E054	NA
20:14280001-14320000	20:14314779-14314907	prom	E067	NA
20:14280001-14320000	20:14314779-14314907	prom	E068	NA
20:14280001-14320000	20:14314779-14314907	prom	E069	NA
20:14280001-14320000	20:14314779-14314907	prom	E070	NA
20:14280001-14320000	20:14314779-14314907	prom	E071	NA
20:14280001-14320000	20:14314779-14314907	prom	E072	NA
20:14280001-14320000	20:14314779-14314907	prom	E073	NA
20:14280001-14320000	20:14314779-14314907	prom	E074	NA
20:14280001-14320000	20:14314779-14314907	prom	E082	NA
20:14280001-14320000	20:14314925-14315542	prom	E053	NA
20:14280001-14320000	20:14314925-14315542	prom	E054	NA
20:14280001-14320000	20:14314925-14315542	prom	E067	NA
20:14280001-14320000	20:14314925-14315542	prom	E068	NA
20:14280001-14320000	20:14314925-14315542	prom	E069	NA
20:14280001-14320000	20:14314925-14315542	prom	E070	NA
20:14280001-14320000	20:14314925-14315542	prom	E071	NA
20:14280001-14320000	20:14314925-14315542	prom	E072	NA
20:14280001-14320000	20:14314925-14315542	prom	E073	NA
20:14280001-14320000	20:14314925-14315542	prom	E074	NA
20:14280001-14320000	20:14314925-14315542	prom	E082	NA
20:14280001-14320000	20:14315581-14316145	prom	E054	NA
20:14280001-14320000	20:14315581-14316145	prom	E067	NA
20:14280001-14320000	20:14315581-14316145	prom	E068	NA
20:14280001-14320000	20:14315581-14316145	prom	E069	NA
20:14280001-14320000	20:14315581-14316145	prom	E070	NA
20:14280001-14320000	20:14315581-14316145	prom	E071	NA
20:14280001-14320000	20:14315581-14316145	prom	E072	NA
20:14280001-14320000	20:14315581-14316145	prom	E073	NA
20:14280001-14320000	20:14315581-14316145	prom	E081	NA
20:14280001-14320000	20:14315581-14316145	prom	E082	NA
20:14280001-14320000	20:14316152-14316452	prom	E053	NA
20:14280001-14320000	20:14316152-14316452	prom	E054	NA
20:14280001-14320000	20:14316152-14316452	prom	E067	NA
20:14280001-14320000	20:14316152-14316452	prom	E068	NA
20:14280001-14320000	20:14316152-14316452	prom	E069	NA
20:14280001-14320000	20:14316152-14316452	prom	E070	NA
20:14280001-14320000	20:14316152-14316452	prom	E071	NA
20:14280001-14320000	20:14316152-14316452	prom	E072	NA
20:14280001-14320000	20:14316152-14316452	prom	E073	NA
20:14280001-14320000	20:14316152-14316452	prom	E081	NA
20:14280001-14320000	20:14316152-14316452	prom	E082	NA
20:14280001-14320000	20:14316523-14316609	prom	E053	NA
20:14280001-14320000	20:14316523-14316609	prom	E054	NA
20:14280001-14320000	20:14316523-14316609	prom	E067	NA
20:14280001-14320000	20:14316523-14316609	prom	E068	NA
20:14280001-14320000	20:14316523-14316609	prom	E069	NA
20:14280001-14320000	20:14316523-14316609	prom	E070	NA
20:14280001-14320000	20:14316523-14316609	prom	E071	NA
20:14280001-14320000	20:14316523-14316609	prom	E072	NA
20:14280001-14320000	20:14316523-14316609	prom	E073	NA
20:14280001-14320000	20:14316523-14316609	prom	E081	NA
20:14280001-14320000	20:14316523-14316609	prom	E082	NA
20:14280001-14320000	20:14316629-14316802	prom	E053	NA
